ONS_CODE,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024
E14000530,100.0,100.0,100.0,,100.0,88.1,91.8,92.8,91.5,,,,
E14000531,83.8,86.5,86.5,80.8,86.7,83.5,71.2,90.6,86.6,85.2,100.0,100.0,100.0
E14000532,57.5,74.4,56.7,50.0,64.0,52.5,69.6,62.7,63.3,76.8,78.1,100.0,
E14000533,73.2,72.8,89.3,84.8,82.0,77.8,,,100.0,100.0,,79.1,83.2
E14000534,86.7,84.9,,,,,,,,,,,
E14000535,100.0,100.0,100.0,100.0,100.0,72.2,60.4,57.6,50.3,59.7,69.0,69.3,76.8
E14000536,77.0,75.2,68.0,73.9,78.7,86.9,85.2,60.7,61.8,71.2,64.5,50.4,39.1
E14000537,86.9,72.8,78.1,92.6,93.8,100.0,100.0,100.0,100.0,100.0,100.0,92.4,79.2
E14000538,79.0,86.8,87.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
E14000539,75.2,72.2,72.6,74.8,77.2,79.0,,,,86.9,92.7,92.4,91.3
E14000540,48.7,43.4,,60.1,73.8,58.4,50.2,44.9,,61.6,57.9,66.3,66.0
E14000541,77.0,54.7,53.9,43.9,39.9,52.1,,62.8,82.7,84.2,75.4,100.0,100.0
E14000542,89.5,92.0,91.7,83.2,79.6,77.4,70.8,67.5,70.7,63.7,66.5,76.6,81.0
E14000543,100.0,100.0,85.7,82.1,82.7,72.2,77.9,84.3,86.9,100.0,89.1,88.6,91.8
E14000544,82.5,81.6,81.2,82.3,100.0,90.8,80.1,88.5,77.2,,,,
E14000545,100.0,84.6,83.7,84.4,47.2,,55.0,61.6,74.5,89.5,88.6,89.2,100.0
E14000546,84.4,,84.0,87.7,81.8,76.8,,100.0,100.0,100.0,100.0,100.0,73.4
E14000547,83.3,78.2,65.3,51.9,36.0,33.4,27.8,,78.6,66.8,39.4,58.5,58.3
E14000548,100.0,100.0,100.0,86.1,84.8,90.6,90.1,100.0,85.1,84.3,72.5,76.3,88.8
E14000549,77.5,74.8,87.5,89.3,80.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
E14000550,85.9,78.8,72.7,73.6,68.5,61.3,69.3,60.2,61.4,73.1,62.2,75.7,72.2
E14000551,82.9,100.0,100.0,100.0,100.0,100.0,,,,,38.4,,
E14000552,65.6,38.5,48.1,67.1,85.5,91.7,100.0,100.0,100.0,100.0,,100.0,100.0
E14000553,63.8,60.2,,,,36.6,54.1,61.1,59.3,,,,
E14000554,76.8,85.2,86.7,100.0,100.0,100.0,100.0,,100.0,100.0,64.8,58.4,70.5
E14000555,82.1,75.4,56.8,59.1,56.4,50.5,59.5,59.5,55.7,54.7,56.7,54.9,
