index,dates.date,cpi_index_00_all_items_2015_100,cpi_index_01_food_and_non_alcoholic_beverages_2015_100,cpi_index_02_alcoholic_beverages_tobacco_&_narcotics_2015_100,cpi_index_03_clothing_and_footwear_2015_100,cpi_index_04_housing_water_and_fuels_2015_100,cpi_index_05_furn_hh_equip_&_routine_repair_of_house_2015_100,cpi_index_06_health_2015_100,cpi_index_07_transport_2015_100,cpi_index_08_communication_2015_100,cpi_index_09_recreation_&_culture_2015_100,cpi_index_10_education_2015_100,cpi_index_11_hotels_cafes_and_restaurants_2015_100,cpi_index_12_miscellaneous_goods_and_services_2015_100,named_date,date_axis_label,Youth-focused average
0,2013-07-01,98.3,102.6,94.4,95.3,96.7,97.9,96.0,103.0,97.7,99.2,81.4,96.0,99.8,Jul 2013,Jul\n2013,99.39999999999999
1,2013-08-01,98.7,103.1,94.3,97.2,96.8,99.6,96.2,104.0,97.6,99.2,81.4,96.0,99.8,Aug 2013,Aug\n2013,100.275
2,2013-09-01,99.1,103.2,94.7,101.2,96.9,99.8,96.4,102.6,97.7,99.8,83.0,96.4,100.2,Sep 2013,Sep\n2013,100.975
3,2013-10-01,99.1,103.4,95.0,102.3,96.8,99.4,96.2,101.1,98.0,99.9,89.8,96.6,100.0,Oct 2013,Oct\n2013,100.9
4,2013-11-01,99.2,103.4,95.0,103.0,96.8,99.4,96.2,100.5,97.8,100.4,89.8,96.7,100.2,Nov 2013,Nov\n2013,100.925
5,2013-12-01,99.6,103.8,93.8,102.1,99.0,101.1,96.3,101.5,98.2,99.9,89.8,96.7,100.0,Dec 2013,Dec\n2013,101.6
6,2014-01-01,99.0,103.9,96.7,96.6,98.9,98.0,96.9,100.9,98.7,99.4,89.8,96.6,99.7,Jan 2014,Jan\n2014,100.07499999999999
7,2014-02-01,99.5,104.5,95.8,97.7,98.9,100.4,97.3,101.2,98.9,100.3,89.8,97.0,100.0,Feb 2014,Feb\n2014,100.575
8,2014-03-01,99.7,103.9,96.1,99.4,98.8,100.7,97.5,101.2,99.1,100.7,89.8,97.4,100.3,Mar 2014,Mar\n2014,100.825
9,2014-04-01,100.1,103.4,96.9,100.4,99.4,99.8,98.2,103.2,99.0,100.6,89.8,97.6,99.9,Apr 2014,Apr\n2014,101.60000000000001
10,2014-05-01,100.0,102.3,98.4,100.3,99.4,100.3,98.3,102.5,98.5,101.0,89.8,97.9,99.8,May 2014,May\n2014,101.125
11,2014-06-01,100.2,102.4,98.4,100.9,99.5,100.5,98.3,103.0,98.4,100.9,89.8,98.3,99.7,Jun 2014,Jun\n2014,101.45
12,2014-07-01,99.9,102.2,97.7,95.1,99.8,99.0,98.5,104.4,98.5,100.7,89.8,98.7,99.2,Jul 2014,Jul\n2014,100.375
13,2014-08-01,100.2,102.0,98.7,97.6,99.8,100.0,99.0,105.2,98.4,100.6,89.8,98.5,99.4,Aug 2014,Aug\n2014,101.14999999999999
14,2014-09-01,100.3,101.8,99.3,101.5,99.9,100.6,98.7,102.7,98.5,100.5,91.5,98.7,99.7,Sep 2014,Sep\n2014,101.47500000000001
15,2014-10-01,100.4,101.9,100.0,102.1,100.0,99.5,98.4,101.5,98.6,101.0,98.7,99.0,99.6,Oct 2014,Oct\n2014,101.375
16,2014-11-01,100.1,101.7,98.8,102.8,100.0,99.6,98.1,100.3,98.3,100.7,98.7,99.0,99.5,Nov 2014,Nov\n2014,101.2
17,2014-12-01,100.1,102.0,98.5,101.7,100.0,101.2,98.3,100.1,98.9,100.5,98.7,99.0,99.4,Dec 2014,Dec\n2014,100.94999999999999
18,2015-01-01,99.3,101.3,99.9,98.0,99.9,98.7,99.0,98.1,98.9,99.6,98.7,98.9,99.3,Jan 2015,Jan\n2015,99.32500000000002
19,2015-02-01,99.5,101.0,99.5,99.3,99.8,100.1,99.1,98.5,99.7,99.5,98.7,99.1,99.6,Feb 2015,Feb\n2015,99.65
20,2015-03-01,99.7,100.9,99.3,99.2,99.5,100.5,99.5,99.2,99.9,100.0,98.7,99.3,99.8,Mar 2015,Mar\n2015,99.7
21,2015-04-01,99.9,100.5,99.8,99.9,99.9,99.3,100.2,100.3,99.9,100.1,98.7,99.6,99.8,Apr 2015,Apr\n2015,100.15
22,2015-05-01,100.1,100.4,100.5,100.5,99.9,99.8,100.5,100.9,99.7,100.0,98.7,99.8,99.6,May 2015,May\n2015,100.42500000000001
23,2015-06-01,100.2,100.2,100.7,100.1,99.9,100.2,99.9,101.1,99.5,99.9,98.7,100.2,99.8,Jun 2015,Jun\n2015,100.32500000000002
24,2015-07-01,100.0,99.5,99.6,96.7,100.2,98.7,100.8,102.3,99.7,100.1,98.7,100.3,99.9,Jul 2015,Jul\n2015,99.675
25,2015-08-01,100.3,99.5,100.7,98.2,100.2,100.4,100.7,102.4,99.5,99.7,98.7,100.3,100.3,Aug 2015,Aug\n2015,100.07499999999999
26,2015-09-01,100.2,99.5,100.7,100.9,100.0,101.1,100.7,99.9,99.9,99.7,99.9,100.5,100.3,Sep 2015,Sep\n2015,100.07499999999999
27,2015-10-01,100.3,99.1,100.3,102.9,100.2,100.2,100.0,98.9,100.5,100.6,103.4,100.6,100.4,Oct 2015,Oct\n2015,100.275
