quarter_end,age_group,all_level,all_over_12_months_level
2019-03-31,18-24,385330.6422351834,63303.06001467063
2019-06-30,18-24,418955.93421770126,73569.59950460136
2019-09-30,18-24,408856.594787929,63955.3524365873
2019-12-31,18-24,382879.37001980026,55932.83333673969
2020-03-31,18-24,422850.7973982815,62464.55120197551
2020-06-30,18-24,446130.91684144386,55806.534784901596
2020-09-30,18-24,519770.5857199023,96415.87471905758
2020-12-31,18-24,513700.6430783937,85406.94920381576
2021-03-31,18-24,456269.3064568257,97798.52324601644
2021-06-30,18-24,401904.2363595968,84879.32770464633
2021-09-30,18-24,381632.93754173385,77608.34386342707
2021-12-31,18-24,368547.6395130594,88872.8949633135
2022-03-31,18-24,336509.2477357863,70642.20324173445
2022-06-30,18-24,325985.9335461727,58990.55081008009
2022-09-30,18-24,309220.6215865915,54547.45476562119
2022-12-31,18-24,369672.95806137216,54494.52062254548
