quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa
1992-04-01,5255606.66000047,3742199.5847792197,777216.9005041174,736190.1747171319,71.20395088278705,17.197284274086787,14.007710666784678
1992-07-01,5053183.946703611,3626733.5079151737,759866.481628504,666583.9571599335,71.77125444406259,17.322447532024686,13.191365368655777
1992-10-01,5100832.020117374,3611380.6800922863,800568.5285624438,688882.8114626444,70.79983551407335,18.14546112616172,13.50530283580663
1993-01-01,5053695.67981267,3547428.6538636256,824127.4392740502,682139.5866749941,70.19474219696427,18.85203853537961,13.497836630722478
1993-04-01,5003553.152166195,3500285.541002295,803079.1494601581,700188.4617037417,69.9559979589087,18.661656801711985,13.993824796297172
1993-07-01,4831194.028734303,3390692.9617613135,757555.3789824907,682945.6879904986,70.18333235209809,18.262054649473004,14.136167662250147
1993-10-01,4779746.082557609,3336678.136613451,762273.1944964097,680794.7514477479,69.80869023126051,18.59678568786547,14.243324638773682
1994-01-01,4712638.510872943,3325759.1353853857,713804.7712688637,673074.6042186941,70.5710639106359,17.670342338019086,14.282330432639473
1994-04-01,4593453.653582367,3255883.1987844985,688804.9037820068,648765.5510158614,70.8809415382973,17.46158088731665,14.123698635990344
1994-07-01,4605069.169896802,3248066.1794149186,678338.2475884634,678664.7428934202,70.5324080829758,17.27632138256753,14.737340914004745
1994-10-01,4503200.895772444,3210560.7628428675,628788.9129333709,663851.2199962055,71.29508181295903,16.37748488762599,14.741763367017931
1995-01-01,4443655.409002685,3178235.1880728155,616980.4152498539,648439.8056800156,71.52298942068788,16.25679486324029,14.592486275292632
1995-04-01,4356903.276046856,3131148.1009702273,600914.3408442693,624840.8342323594,71.86636706360873,16.101401040656487,14.341397883849641
1995-07-01,4417881.510286563,3184325.400400021,609916.7260667217,623639.3838198207,72.07810786653422,16.074797172595982,14.11625419033406
1995-10-01,4347456.0938401865,3128436.0229795845,572629.4540593063,646390.6168012952,71.9601522235543,15.472016304814195,14.86824945091802
1996-01-01,4279903.363357595,3069149.3377080155,580691.420561829,630062.6050877504,71.71071580691626,15.910048109526223,14.721421293808481
1996-04-01,4250686.856508589,3060473.8903093217,570039.4951844739,620173.471014794,71.99951428139592,15.701346742368264,14.58995903368401
1996-07-01,4260339.221732457,3066967.390015385,569416.8956419451,623954.936075127,71.98880723794126,15.658875710354542,14.645663258274475
1996-10-01,4201271.968534891,3029425.2254943354,550154.1314762549,621692.6115643003,72.10733435452377,15.36923969585779,14.797723551829547
1997-01-01,4165544.523219998,3033961.7947372384,517926.1276418041,613656.6008409556,72.83469850880294,14.581713695934948,14.731725886501732
1997-04-01,4127109.6008018735,3058548.874636952,494144.3024369909,574416.4237279311,74.10873881427074,13.90900586703568,13.918128649075017
1997-07-01,4042250.032245811,3006886.3195258067,481944.4349473028,553419.2777727011,74.386450505023,13.813924173002395,13.690871998465418
1997-10-01,4053177.2109701615,3057094.0938534182,459690.09119366563,536393.0259230772,75.42463442208286,13.071319336233625,13.233890303915114
1998-01-01,4032819.6993318843,3022082.500484572,459484.68480381917,551252.514043493,74.93720835040654,13.197639463785285,13.669158433609589
1998-04-01,4004809.670655498,2995768.342974834,449807.69047039136,559233.6372102723,74.80426260767828,13.054644161215315,13.964050309505428
1998-07-01,3928019.7359174136,2979395.54775419,441865.576363491,506758.61179973267,75.84981105137786,12.915283585009755,12.901121834139055
1998-10-01,3929636.186271841,2949580.03900576,465383.3709668467,514672.7762992344,75.05987575414996,13.627770347635435,13.097211851245682
1999-01-01,3945180.418965386,2990786.758868818,438065.0964789955,516328.5636175728,75.80861814307455,12.775853695626038,13.087577975786942
1999-04-01,3934592.1090860283,2965096.8121839887,430547.7914167526,538947.5054852869,75.35970006488817,12.679412649963421,13.697671589405994
1999-07-01,3953579.9336091587,2993341.822443192,413755.4299055292,546482.6812604375,75.71218674490335,12.143927785457318,13.822477107768055
1999-10-01,4009444.2843923206,3032876.636700996,410559.2260780108,566008.4216133136,75.64331666877533,11.922952610090757,14.116879583952091
2000-01-01,3984056.049146057,3006486.1633618637,412501.8732018423,565068.0125823508,75.46294846946932,12.065028271243445,14.183234513065338
2000-04-01,3934870.4491494326,2965297.9815032315,405919.6206332007,563652.8470130002,75.35948183870232,12.040742204714356,14.324559202065728
2000-07-01,3956362.1509104734,2988970.909136958,400613.88047681586,566777.3612966996,75.54846586653116,11.818966196224395,14.325719933557338
2000-10-01,3945983.205474877,2976602.930495601,394718.20860953425,574662.0663697412,75.43374554574123,11.70811656092502,14.56321622384057
2001-01-01,3971098.438989456,2988505.2938507283,401730.6749845189,580862.4701542086,75.25638912671295,11.849637567338355,14.62724933864957
2001-04-01,3999812.9030872853,3043664.2427989244,392857.2232468941,563291.4370414673,76.09516536260105,11.431828001904766,14.082944644902929
2001-07-01,3991272.0872674165,3030312.0729811788,391530.6486727495,569429.3656134887,75.92346516911732,11.442099492039349,14.266864126603373
2001-10-01,4066357.0671378216,3076980.522871375,434150.3964291991,555226.1478372475,75.66921625594387,12.364973178376466,13.654141499877023
2002-01-01,4094610.5466474597,3077462.2428140882,433173.98354877386,583974.3202845975,75.15885107397624,12.338902569736106,14.262023546115701
2002-04-01,4112310.122245932,3092588.594005121,415866.83456413215,603854.693676679,75.2031948484495,11.853273984264991,14.68407478341844
2002-07-01,4117385.0087993974,3086560.8108322285,412501.1981562703,618322.9998108984,74.96410474696535,11.788907915796418,15.017371426025505
2002-10-01,4103860.787913949,3080103.659451699,411267.68917430006,612489.4392879503,75.05380466420155,11.779545860572838,14.924712872613966
2003-01-01,4138629.3007198824,3059525.8309134515,446921.67621179885,632181.7935946316,73.92606606204791,12.74571130192695,15.275149032668098
2003-04-01,4151206.424790372,3080507.015351166,422820.6669344991,647878.7425047071,74.20751222957372,12.06911557467098,15.606998934952351
2003-07-01,4200910.668097075,3131404.9693683907,420125.26333850715,649380.4353901776,74.54109874673559,11.829415373392358,15.458087226699668
2003-10-01,4214545.120674223,3160561.451798778,405562.03369756625,648421.6351778787,74.99175738550797,11.372630121952122,15.385329059524866
2004-01-01,4213035.350925441,3188983.1264828537,405112.0365130337,618940.1879295532,75.69324396441057,11.27160017030126,14.6910751127117
2004-04-01,4232242.203154595,3169063.25397118,409808.3943263277,653370.5548570871,74.87906177980668,11.450770930029755,15.437929199091748
2004-07-01,4284403.093433986,3173997.704484678,442013.2975210834,668392.0914282252,74.08261163262047,12.223781876656444,15.600588386572728
2004-10-01,4286281.0066605,3168805.643071284,442693.7144317732,674781.6491574424,73.92902234238124,12.257892653699539,15.742823396527008
2005-01-01,4292463.867753878,3185342.019438222,429004.07026464643,678117.7780510099,74.20777710832589,11.86947955777844,15.797868053012854
2005-04-01,4313047.697862379,3164779.434686561,447924.56512205093,700343.6980537673,73.3768707509328,12.398595764994317,16.2377916293592
2005-07-01,4303424.354847347,3153031.256023045,456609.1726151928,693783.9262091098,73.26796048991758,12.649713500340305,16.121671232065143
2005-10-01,4320897.7065416295,3113329.510769867,487962.13397722715,719606.0617945355,72.05283999332912,13.549642242637505,16.65408696681449
2006-01-01,4341884.973122663,3151862.369236229,466017.8802499195,724004.7236365145,72.59202831827727,12.88096476703751,16.674894155839734
2006-04-01,4349270.319898161,3131686.1676989915,506271.5801768317,711312.5720223382,72.00486374395602,13.916367788285608,16.35475653854032
2006-07-01,4380643.957239301,3165838.571629055,516507.19709115656,698298.1885190897,72.26879432639804,14.026580596494801,15.940537403527308
2006-10-01,4389820.3327953825,3169388.893049284,482911.5438212307,737519.8959248678,72.1986016004226,13.222119926010661,16.80068522201282
2007-01-01,4428752.963689053,3196411.3423633957,514618.8705172183,717722.7508084395,72.17407176626207,13.867277844600343,16.205978447951004
2007-04-01,4393061.746563774,3163295.550890909,513581.9407107588,716184.2549621053,72.00662620700062,13.967882853965847,16.302622095450868
