Quarter,Unnamed: 1,AP2Y,MGSC,JPC5
Apr-Jun 2001,,680.0,1468.0,2.2
May-Jul 2001,,673.0,1472.0,2.2
Jun-Aug 2001,,662.0,1483.0,2.2
Jul-Sep 2001,,663.0,1487.0,2.2
Aug-Oct 2001,,639.0,1487.0,2.3
Sep-Nov 2001,,627.0,1495.0,2.4
Oct-Dec 2001,,601.0,1520.0,2.5
Nov- Jan 2002,,605.0,1518.0,2.5
Dec-Feb 2002,,616.0,1508.0,2.4
Jan-Mar 2002,,617.0,1515.0,2.5
Feb-Apr 2002,,623.0,1522.0,2.4
Mar-May 2002,,613.0,1542.0,2.5
Apr-Jun 2002,,616.0,1520.0,2.5
May-Jul 2002,,611.0,1527.0,2.5
Jun-Aug 2002,,612.0,1539.0,2.5
Jul-Sep 2002,,610.0,1566.0,2.6
Aug-Oct 2002,,609.0,1546.0,2.5
Sep-Nov 2002,,608.0,1532.0,2.5
Oct-Dec 2002,,603.0,1516.0,2.5
Nov-Jan 2003,,601.0,1480.0,2.5
Dec-Feb 2003,,596.0,1517.0,2.5
Jan-Mar 2003,,594.0,1531.0,2.6
Feb-Apr 2003,,586.0,1517.0,2.6
Mar-May 2003,,589.0,1486.0,2.5
Apr-Jun 2003,,579.0,1467.0,2.5
May-Jul 2003,,574.0,1506.0,2.6
Jun-Aug 2003,,575.0,1504.0,2.6
Jul-Sep 2003,,593.0,1502.0,2.5
Aug-Oct 2003,,604.0,1473.0,2.4
Sep-Nov 2003,,610.0,1461.0,2.4
Oct-Dec 2003,,614.0,1457.0,2.4
Nov-Jan 2004,,612.0,1442.0,2.4
Dec-Feb 2004,,617.0,1436.0,2.3
Jan-Mar 2004,,624.0,1434.0,2.3
Feb-Apr 2004,,632.0,1437.0,2.3
Mar-May 2004,,637.0,1435.0,2.3
Apr-Jun 2004,,641.0,1437.0,2.2
May-Jul 2004,,652.0,1423.0,2.2
Jun-Aug 2004,,653.0,1405.0,2.2
Jul-Sep 2004,,655.0,1401.0,2.1
Aug-Oct 2004,,655.0,1397.0,2.1
Sep-Nov 2004,,658.0,1407.0,2.1
Oct-Dec 2004,,662.0,1423.0,2.2
Nov-Jan 2005,,660.0,1425.0,2.2
Dec-Feb 2005,,655.0,1447.0,2.2
Jan-Mar 2005,,641.0,1416.0,2.2
Feb-Apr 2005,,639.0,1420.0,2.2
Mar-May 2005,,641.0,1436.0,2.2
Apr-Jun 2005,,642.0,1437.0,2.2
May-Jul 2005,,633.0,1424.0,2.2
Jun-Aug 2005,,624.0,1420.0,2.3
Jul-Sep 2005,,623.0,1437.0,2.3
Aug-Oct 2005,,609.0,1500.0,2.5
Sep-Nov 2005,,606.0,1538.0,2.5
Oct-Dec 2005,,609.0,1567.0,2.6
Nov-Jan 2006,,614.0,1551.0,2.5
Dec-Feb 2006,,611.0,1584.0,2.6
Jan-Mar 2006,,599.0,1604.0,2.7
Feb-Apr 2006,,597.0,1633.0,2.7
Mar-May 2006,,597.0,1664.0,2.8
Apr-Jun 2006,,603.0,1685.0,2.8
May-Jul 2006,,607.0,1698.0,2.8
Jun-Aug 2006,,611.0,1690.0,2.8
Jul-Sep 2006,,613.0,1693.0,2.8
Aug-Oct 2006,,620.0,1691.0,2.7
Sep-Nov 2006,,620.0,1674.0,2.7
Oct-Dec 2006,,620.0,1701.0,2.7
Nov-Jan 2007,,618.0,1703.0,2.8
Dec-Feb 2007,,627.0,1708.0,2.7
Jan-Mar 2007,,640.0,1704.0,2.7
Feb-Apr 2007,,648.0,1692.0,2.6
Mar-May 2007,,650.0,1670.0,2.6
Apr-Jun 2007,,658.0,1658.0,2.5
May-Jul 2007,,669.0,1645.0,2.5
Jun-Aug 2007,,682.0,1645.0,2.4
Jul-Sep 2007,,685.0,1650.0,2.4
Aug-Oct 2007,,688.0,1629.0,2.4
Sep-Nov 2007,,692.0,1633.0,2.4
Oct-Dec 2007,,687.0,1608.0,2.3
Nov-Jan 2008,,678.0,1617.0,2.4
Dec-Feb 2008,,685.0,1622.0,2.4
Jan-Mar 2008,,695.0,1622.0,2.3
Feb-Apr 2008,,696.0,1667.0,2.4
Mar-May 2008,,678.0,1625.0,2.4
Apr-Jun 2008,,656.0,1680.0,2.6
May-Jul 2008,,642.0,1724.0,2.7
Jun-Aug 2008,,626.0,1793.0,2.9
Jul-Sep 2008,,617.0,1840.0,3.0
Aug-Oct 2008,,598.0,1875.0,3.1
Sep-Nov 2008,,563.0,1941.0,3.4
Oct-Dec 2008,,527.0,2003.0,3.8
Nov-Jan 2009,,497.0,2057.0,4.1
Dec-Feb 2009,,476.0,2128.0,4.5
Jan-Mar 2009,,463.0,2235.0,4.8
Feb-Apr 2009,,454.0,2296.0,5.1
Mar-May 2009,,442.0,2395.0,5.4
Apr-Jun 2009,,431.0,2448.0,5.7
May-Jul 2009,,429.0,2478.0,5.8
Jun-Aug 2009,,440.0,2484.0,5.6
Jul-Sep 2009,,438.0,2475.0,5.7
Aug-Oct 2009,,434.0,2484.0,5.7
Sep-Nov 2009,,438.0,2455.0,5.6
Oct-Dec 2009,,454.0,2453.0,5.4
Nov-Jan 2010,,463.0,2434.0,5.3
Dec-Feb 2010,,465.0,2496.0,5.4
Jan-Mar 2010,,463.0,2526.0,5.5
Feb-Apr 2010,,468.0,2510.0,5.4
Mar-May 2010,,478.0,2508.0,5.2
Apr-Jun 2010,,483.0,2488.0,5.1
May-Jul 2010,,479.0,2488.0,5.2
Jun-Aug 2010,,463.0,2476.0,5.4
Jul-Sep 2010,,457.0,2470.0,5.4
Aug-Oct 2010,,456.0,2513.0,5.5
Sep-Nov 2010,,475.0,2502.0,5.3
Oct-Dec 2010,,483.0,2503.0,5.2
Nov-Jan 2011,,493.0,2524.0,5.1
Dec-Feb 2011,,488.0,2492.0,5.1
Jan-Mar 2011,,483.0,2483.0,5.1
Feb-Apr 2011,,471.0,2462.0,5.2
Mar-May 2011,,460.0,2500.0,5.4
Apr-Jun 2011,,460.0,2540.0,5.5
May-Jul 2011,,456.0,2556.0,5.6
Jun-Aug 2011,,464.0,2611.0,5.6
Jul-Sep 2011,,465.0,2662.0,5.7
Aug-Oct 2011,,468.0,2677.0,5.7
Sep-Nov 2011,,462.0,2713.0,5.9
Oct-Dec 2011,,465.0,2689.0,5.8
Nov-Jan 2012,,474.0,2674.0,5.6
Dec-Feb 2012,,472.0,2655.0,5.6
Jan-Mar 2012,,466.0,2635.0,5.6
Feb-Apr 2012,,465.0,2625.0,5.7
Mar-May 2012,,470.0,2599.0,5.5
Apr-Jun 2012,,474.0,2577.0,5.4
May-Jul 2012,,479.0,2600.0,5.4
Jun-Aug 2012,,485.0,2551.0,5.3
Jul-Sep 2012,,488.0,2539.0,5.2
Aug-Oct 2012,,492.0,2534.0,5.2
Sep-Nov 2012,,494.0,2532.0,5.1
Oct-Dec 2012,,501.0,2535.0,5.1
Nov-Jan 2013,,502.0,2537.0,5.1
Dec-Feb 2013,,504.0,2584.0,5.1
Jan-Mar 2013,,504.0,2540.0,5.0
Feb-Apr 2013,,516.0,2525.0,4.9
Mar-May 2013,,522.0,2511.0,4.8
Apr-Jun 2013,,533.0,2515.0,4.7
May-Jul 2013,,539.0,2492.0,4.6
Jun-Aug 2013,,536.0,2504.0,4.7
Jul-Sep 2013,,548.0,2483.0,4.5
Aug-Oct 2013,,553.0,2404.0,4.3
Sep-Nov 2013,,568.0,2340.0,4.1
Oct-Dec 2013,,573.0,2357.0,4.1
Nov-Jan 2014,,582.0,2340.0,4.0
Dec-Feb 2014,,595.0,2256.0,3.8
Jan-Mar 2014,,616.0,2212.0,3.6
Feb-Apr 2014,,637.0,2161.0,3.4
Mar-May 2014,,653.0,2112.0,3.2
Apr-Jun 2014,,662.0,2061.0,3.1
May-Jul 2014,,669.0,2010.0,3.0
Jun-Aug 2014,,681.0,1972.0,2.9
Jul-Sep 2014,,686.0,1961.0,2.9
Aug-Oct 2014,,704.0,1953.0,2.8
Sep-Nov 2014,,704.0,1924.0,2.7
Oct-Dec 2014,,708.0,1870.0,2.6
Nov-Jan 2015,,710.0,1858.0,2.6
Dec-Feb 2015,,719.0,1840.0,2.6
Jan-Mar 2015,,729.0,1826.0,2.5
Feb-Apr 2015,,727.0,1813.0,2.5
Mar-May 2015,,727.0,1848.0,2.5
Apr-Jun 2015,,730.0,1849.0,2.5
May-Jul 2015,,740.0,1822.0,2.5
Jun-Aug 2015,,742.0,1779.0,2.4
Jul-Sep 2015,,742.0,1760.0,2.4
Aug-Oct 2015,,744.0,1715.0,2.3
