County,LADCD,LADNM,Type,Active
E10000003,E07000008,Cambridge,Local Authority,
E10000003,E07000009,East Cambridgeshire,Local Authority,
E10000003,E07000010,Fenland,Local Authority,
E10000003,E07000011,Huntingdonshire,Local Authority,
E10000003,E07000012,South Cambridgeshire,Local Authority,
E10000006,E07000026,Allerdale,Local Authority,INACTIVE
E10000006,E07000027,Barrow-in-Furness,Local Authority,INACTIVE
E10000006,E07000028,Carlisle,Local Authority,INACTIVE
E10000006,E07000029,Copeland,Local Authority,INACTIVE
E10000006,E07000030,Eden,Local Authority,INACTIVE
E10000006,E07000031,South Lakeland,Local Authority,INACTIVE
E10000007,E07000032,Amber Valley,Local Authority,
E10000007,E07000033,Bolsover,Local Authority,
E10000007,E07000034,Chesterfield,Local Authority,
E10000007,E07000035,Derbyshire Dales,Local Authority,
E10000007,E07000036,Erewash,Local Authority,
E10000007,E07000037,High Peak,Local Authority,
E10000007,E07000038,North East Derbyshire,Local Authority,
E10000007,E07000039,South Derbyshire,Local Authority,
E10000008,E07000040,East Devon,Local Authority,
E10000008,E07000041,Exeter,Local Authority,
E10000008,E07000042,Mid Devon,Local Authority,
E10000008,E07000043,North Devon,Local Authority,
E10000008,E07000044,South Hams,Local Authority,
E10000008,E07000045,Teignbridge,Local Authority,
E10000008,E07000046,Torridge,Local Authority,
E10000008,E07000047,West Devon,Local Authority,
E10000011,E07000061,Eastbourne,Local Authority,
E10000011,E07000062,Hastings,Local Authority,
E10000011,E07000063,Lewes,Local Authority,
E10000011,E07000064,Rother,Local Authority,
E10000011,E07000065,Wealden,Local Authority,
E10000012,E07000066,Basildon,Local Authority,
E10000012,E07000067,Braintree,Local Authority,
E10000012,E07000068,Brentwood,Local Authority,
E10000012,E07000069,Castle Point,Local Authority,
E10000012,E07000070,Chelmsford,Local Authority,
E10000012,E07000071,Colchester,Local Authority,
E10000012,E07000072,Epping Forest,Local Authority,
E10000012,E07000073,Harlow,Local Authority,
E10000012,E07000074,Maldon,Local Authority,
E10000012,E07000075,Rochford,Local Authority,
E10000012,E07000076,Tendring,Local Authority,
E10000012,E07000077,Uttlesford,Local Authority,
E10000013,E07000078,Cheltenham,Local Authority,
E10000013,E07000079,Cotswold,Local Authority,
E10000013,E07000080,Forest of Dean,Local Authority,
E10000013,E07000081,Gloucester,Local Authority,
E10000013,E07000082,Stroud,Local Authority,
