quarter_index,lms_period,age_16_to_17_not_in_ft_education_in_employment_sa,age_18_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_in_employment_sa,men_16_to_24_not_in_ft_education_in_employment_sa,women_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_17_not_in_ft_education_unemployed_sa,age_18_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_unemployed_sa,men_16_to_24_not_in_ft_education_unemployed_sa,women_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_17_not_in_ft_education_economically_inactive_sa,age_18_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,men_16_to_24_not_in_ft_education_economically_inactive_sa,women_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_employment_rate_sa,age_16_to_17_not_in_ft_education_employment_rate_sa,age_18_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,men_16_to_24_not_in_ft_education_employment_rate_sa,women_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_17_not_in_ft_education_unemployment_rate_sa,age_18_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,men_16_to_24_not_in_ft_education_unemployment_rate_sa,women_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_economic_inactivity_rate_sa,age_16_to_17_not_in_ft_education_economic_inactivity_rate_sa,age_18_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,men_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,women_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_total_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_17_not_in_ft_education_total_sa,age_18_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,men_16_to_24_not_in_ft_education_total_sa,women_16_to_24_not_in_ft_education_total_sa,unemployment_rate_sa,economic_inactivity_rate_sa,age_16_to_24_in_employment_sa,age_16_to_24_unemployed_sa,age_16_to_24_economically_inactive_sa,age_16_to_24_unemployment_rate_sa,quarter_label,quarter_axis_label
0,2022-01-01,65.0,2708.0,2773.0,1431.0,1342.0,983.0,24.0,277.0,301.0,200.0,101.0,182.0,91.0,545.0,636.0,302.0,335.0,2131.0,53.6,36.0,76.7,74.7,74.1,75.5,29.8,26.7,9.3,9.8,12.2,7.0,15.6,39.5,50.8,15.4,17.2,15.6,18.8,64.6,7007.0,3297.0,179.0,3531.0,3710.0,1932.0,1778.0,4.0,21.8,3756.0,483.0,2768.0,11.4,Dec-Feb 2022,Dec-Feb\n2022
1,2022-04-01,72.0,2765.0,2837.0,1448.0,1389.0,959.0,30.0,250.0,280.0,180.0,100.0,154.0,89.0,573.0,662.0,319.0,343.0,2135.0,54.0,37.7,77.1,75.1,74.4,75.8,29.5,29.7,8.3,9.0,11.1,6.7,13.8,39.8,46.5,16.0,17.5,16.4,18.7,65.7,7027.0,3248.0,191.0,3588.0,3779.0,1947.0,1832.0,3.8,21.6,3797.0,434.0,2797.0,10.3,Mar-May 2022,Mar-May\n2022
2,2022-07-01,80.0,2773.0,2853.0,1458.0,1395.0,990.0,24.0,214.0,238.0,143.0,94.0,159.0,76.0,547.0,623.0,311.0,311.0,2189.0,54.5,44.6,78.5,76.8,76.2,77.5,29.7,22.9,7.2,7.7,9.0,6.3,13.8,39.9,42.2,15.5,16.8,16.3,17.3,65.6,7052.0,3338.0,180.0,3534.0,3714.0,1913.0,1801.0,3.7,22.1,3843.0,397.0,2812.0,9.4,Jun-Aug 2022,Jun-Aug\n2022
3,2022-10-01,66.0,2707.0,2773.0,1410.0,1363.0,1013.0,20.0,303.0,323.0,201.0,122.0,163.0,107.0,573.0,680.0,324.0,356.0,2133.0,53.4,34.0,75.6,73.4,72.8,74.0,30.6,23.6,10.1,10.4,12.5,8.2,13.8,39.7,55.4,16.0,18.0,16.8,19.3,64.5,7086.0,3309.0,194.0,3583.0,3777.0,1936.0,1841.0,4.0,21.9,3786.0,486.0,2814.0,11.4,Sep-Nov 2022,Sep-Nov\n2022
4,2023-01-01,77.0,2784.0,2861.0,1503.0,1358.0,1006.0,24.0,325.0,349.0,218.0,131.0,153.0,117.0,616.0,733.0,325.0,408.0,2018.0,54.3,35.3,74.7,72.6,73.4,71.6,31.7,23.7,10.5,10.9,12.7,8.8,13.2,38.6,53.7,16.5,18.6,15.9,21.5,63.5,7120.0,3177.0,218.0,3725.0,3943.0,2046.0,1897.0,4.1,21.7,3867.0,502.0,2752.0,11.5,Dec-Feb 2023,Dec-Feb\n2023
5,2023-04-01,72.0,2762.0,2834.0,1485.0,1349.0,1053.0,21.0,310.0,332.0,232.0,100.0,165.0,101.0,606.0,706.0,305.0,401.0,2065.0,54.3,37.1,75.1,73.2,73.4,72.9,32.1,22.9,10.1,10.5,13.5,6.9,13.5,38.7,51.9,16.5,18.2,15.1,21.7,62.9,7154.0,3282.0,194.0,3678.0,3872.0,2021.0,1850.0,4.1,21.3,3886.0,496.0,2772.0,11.3,Mar-May 2023,Mar-May\n2023
6,2023-07-01,76.0,2610.0,2686.0,1415.0,1271.0,981.0,16.0,354.0,370.0,253.0,117.0,180.0,118.0,659.0,777.0,348.0,430.0,2195.0,51.0,36.3,72.0,70.1,70.2,69.9,29.2,17.1,11.9,12.1,15.1,8.4,15.5,41.3,56.2,18.2,20.3,17.3,23.6,65.4,7188.0,3355.0,211.0,3622.0,3833.0,2015.0,1818.0,4.4,21.9,3667.0,549.0,2972.0,13.0,Jun-Aug 2023,Jun-Aug\n2023
7,2023-10-01,98.0,2692.0,2790.0,1486.0,1304.0,954.0,15.0,330.0,345.0,235.0,110.0,185.0,109.0,647.0,756.0,366.0,390.0,2194.0,51.8,44.1,73.4,71.7,71.2,72.3,28.6,13.6,10.9,11.0,13.6,7.8,16.2,40.8,49.0,17.6,19.4,17.5,21.6,65.8,7223.0,3332.0,222.0,3669.0,3891.0,2087.0,1804.0,4.1,22.0,3744.0,530.0,2949.0,12.4,Sep-Nov 2023,Sep-Nov\n2023
8,2024-01-01,81.0,2671.0,2751.0,1438.0,1314.0,912.0,31.0,319.0,351.0,227.0,123.0,186.0,101.0,672.0,773.0,405.0,368.0,2285.0,50.5,37.9,72.9,71.0,69.5,72.8,27.0,28.0,10.7,11.3,13.6,8.6,17.0,42.1,47.4,18.4,19.9,19.6,20.4,67.5,7258.0,3382.0,213.0,3662.0,3875.0,2070.0,1805.0,4.3,22.1,3663.0,537.0,3058.0,12.8,Dec-Feb 2024,Dec-Feb\n2024
9,2024-04-01,70.0,2690.0,2761.0,1451.0,1309.0,982.0,37.0,354.0,391.0,264.0,127.0,208.0,92.0,668.0,760.0,377.0,383.0,2191.0,51.3,35.2,72.5,70.6,69.4,72.0,29.0,34.7,11.6,12.4,15.4,8.9,17.5,40.5,46.0,18.0,19.4,18.0,21.1,64.8,7292.0,3381.0,199.0,3712.0,3912.0,2092.0,1819.0,4.5,22.0,3742.0,599.0,2950.0,13.8,Mar-May 2024,Mar-May\n2024
