quarter_index,quarter_start,people_age_16_to_24_neet_total_sa,people_age_16_to_24_neet_unemployed_sa,people_age_16_to_24_neet_economically_inactive_sa,people_age_16_to_24_population,people_age_16_to_24_neet_total_rate_sa,people_age_16_to_24_neet_unemployed_rate_sa,people_age_16_to_24_neet_economically_inactive_rate_sa,men_age_16_to_24_neet_total_sa,men_age_16_to_24_neet_unemployed_sa,men_age_16_to_24_neet_economically_inactive_sa,men_age_16_to_24_population,men_age_16_to_24_neet_total_rate_sa,men_age_16_to_24_neet_unemployed_rate_sa,men_age_16_to_24_neet_economically_inactive_rate_sa,women_age_16_to_24_neet_total_sa,women_age_16_to_24_neet_unemployed_sa,women_age_16_to_24_neet_economically_inactive_sa,women_age_16_to_24_population,women_age_16_to_24_neet_total_rate_sa,women_age_16_to_24_neet_unemployed_rate_sa,women_age_16_to_24_neet_economically_inactive_rate_sa,quarter_label,quarter_axis_label
0,2001-10-01,832756.8738777572,373303.2728347972,459453.6010429601,6438121.0,12.934781341912604,5.798326450136572,7.136454891776034,340934.2684073477,232172.75685231388,108761.51155503384,3231323.0,10.550918877727412,7.185068061976901,3.3658508157505103,491822.6054704096,141130.51598248328,350692.0894879263,3206798.0,15.336875146810296,4.400979294064774,10.93589585274552,Oct-Dec 2001,Oct-Dec\n2001
1,2002-01-01,859075.1894852319,374351.1654438339,484724.024041398,6473467.0,13.270712424813963,5.782854310431087,7.487858114382879,365269.0907960344,238316.1182106469,126952.97258538748,3250216.0,11.238302032727498,7.332316320227545,3.9059857124999526,493806.0986891976,136035.04723318704,357771.0514560105,3223251.0,15.32012550959257,4.220429846548936,11.099695663043631,Jan-Mar 2002,Jan-Mar\n2002
2,2002-04-01,872895.3655835623,367778.0719752788,505117.2936082835,6508963.0,13.410667192048292,5.6503328099311485,7.760334382117144,371417.3809786062,235991.46756187588,135425.9134167303,3269157.0,11.36125860515742,7.218725425602866,4.142533179554555,501477.9846049561,131786.60441340294,369691.3801915532,3239806.0,15.478642381826448,4.067731352229206,11.41091102959724,Apr-Jun 2002,Apr-Jun\n2002
3,2002-07-01,872845.986921177,360805.7751336228,512040.2117875542,6544346.0,13.337405860282708,5.513244182590938,7.8241616776917695,372893.45824002713,226361.66841140413,146531.789828623,3286883.0,11.344896007555704,6.886818557624477,4.458077449931227,499952.5286811498,134444.10672221862,365508.4219589312,3257463.0,15.347911202096537,4.127264276592508,11.220646925504026,Jul-Sep 2002,Jul-Sep\n2002
4,2002-10-01,836001.538406977,354230.6100506418,481770.9283563352,6579915.0,12.705354680219685,5.383513465609234,7.32184121461045,343939.5916040908,226317.3053771579,117622.28622693285,3304142.0,10.409346559684504,6.849502998877104,3.5598435608074,492061.9468028863,127913.30467348394,364148.6421294024,3275773.0,15.02124679588257,3.9048281023588616,11.116418693523707,Oct-Dec 2002,Oct-Dec\n2002
5,2003-01-01,893327.751077235,383602.4178900068,509725.3331872282,6615343.0,13.50387653485594,5.79867767839108,7.705198856464861,375846.95484025945,239177.5082285693,136669.44661169016,3321341.0,11.316120652479208,7.2012331232646485,4.11488752921456,517480.7962369755,144424.9096614375,373055.886575538,3294002.0,15.70978998303509,4.384481541342036,11.325308441693052,Jan-Mar 2003,Jan-Mar\n2003
6,2003-04-01,891068.7121412897,361129.02925406455,529939.6828872252,6650771.0,13.397976146544355,5.429882178382996,7.968093968161363,356051.5772002636,221326.0135416155,134725.56365864805,3338478.0,10.665086821008362,6.629548361307623,4.03553845970074,535017.1349410261,139803.01571244904,395214.1192285771,3312293.0,16.15247005446155,4.220732154807834,11.931737899653715,Apr-Jun 2003,Apr-Jun\n2003
7,2003-07-01,877233.5670507853,354743.447389439,522490.1196613464,6687183.0,13.118133107031548,5.304826372920242,7.813306734111304,359010.4851959981,221233.9398156247,137776.54538037337,3356709.0,10.69531154461105,6.590798899029517,4.104512645581532,518223.0818547873,133509.50757381425,384713.574280973,3330474.0,15.560039857833669,4.008723910584927,11.55131594724874,Jul-Sep 2003,Jul-Sep\n2003
8,2003-10-01,847027.7170010747,338901.2685501124,508126.4484509623,6723718.0,12.597609194809698,5.0403849261690095,7.557224268640689,346878.4322547115,211724.25699929288,135154.17525541864,3375577.0,10.276122637839736,6.2722389979340685,4.003883639905671,500149.2847463632,127177.01155081949,372972.2731955437,3348141.0,14.938118936638665,3.798436551830388,11.139682384808276,Oct-Dec 2003,Oct-Dec\n2003
9,2004-01-01,835620.3645950904,338220.12441394845,497400.24018114194,6760447.0,12.360430672632896,5.0029254635669576,7.357505209065938,346484.53427178937,211842.26532442437,134642.268947365,3394411.0,10.207500926428455,6.2409138234711214,3.966587102957332,489135.830323301,126377.8590895241,362757.97123377695,3366036.0,14.531509179441368,3.754501113164687,10.77700806627668,Jan-Mar 2004,Jan-Mar\n2004
10,2004-04-01,879208.1622585144,356893.76324772526,522314.3990107892,6797079.0,12.935088179179829,5.250693176403058,7.684395002776768,353974.96063985775,218696.95580958077,135278.004830277,3413199.0,10.37076832144442,6.407389543052741,3.963378778391679,525233.2016186567,138196.80743814452,387036.3941805122,3383880.0,15.521626110224265,4.083974828839809,11.437651281384452,Apr-Jun 2004,Apr-Jun\n2004
11,2004-07-01,917891.7807691008,381321.8184547946,536569.9623143062,6829102.0,13.440885503966712,5.583776878055044,7.857108625911667,371979.2931537598,230418.74411270188,141560.54904105788,3427495.0,10.852803378378663,6.722657337580416,4.130146040798247,545912.4876153411,150903.07434209273,395009.4132732483,3401607.0,16.0486642817745,4.436228945380602,11.612435336393895,Jul-Sep 2004,Jul-Sep\n2004
12,2004-10-01,922143.9812013728,390358.12237453286,531785.8588268398,6858782.0,13.4447192110986,5.691362145269129,7.753357065829469,392436.1270767186,242395.76043601893,150040.36664069968,3439563.0,11.409476351406228,7.047283635625193,4.362192715781036,529707.8541246541,147962.36193851393,381745.4921861401,3419219.0,15.492071555658004,4.327373062050542,11.16469849360746,Oct-Dec 2004,Oct-Dec\n2004
13,2005-01-01,925242.7764535726,379101.6764843876,546141.099969185,6888760.0,13.431194822487246,5.503191815136361,7.9280030073508865,385038.43882336427,237304.68607160257,147733.7527517617,3451742.0,11.154902041443544,6.8749253586045125,4.279976682839033,540204.3376302082,141796.990412785,398407.34721742326,3437018.0,15.717239119207646,4.12558183904725,11.591657280160396,Jan-Mar 2005,Jan-Mar\n2005
14,2005-04-01,946905.5573548342,389917.8062122278,556987.7511426064,6918572.0,13.686430629829887,5.635813376116166,8.05061725371372,398952.95593522256,241509.84506963697,157443.11086558562,3463940.0,11.517317157203143,6.972113982044636,4.545203175158508,547952.6014196116,148407.96114259085,399544.6402770208,3454632.0,15.86138846104626,4.295912303903595,11.565476157142664,Apr-Jun 2005,Apr-Jun\n2005
15,2005-07-01,935234.1768627464,399398.4946173884,535835.6822453581,6944311.0,13.467630940819708,5.751448842331346,7.716182098488361,408903.8465932237,261224.47111777595,147679.37547544774,3476116.0,11.76323939112572,7.514837569223119,4.248401821902599,526330.3302695227,138174.02349961238,388156.3067699103,3468195.0,15.175915145184248,3.984032717295664,11.19188242788858,Jul-Sep 2005,Jul-Sep\n2005
