quarter_index,quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,quarter_label
0,2020-04-01,3920242.1,2827243.0,363877.2,729121.9,72.1,11.4,18.6,2932200.9,839889.5,186375.3,1905936.1,28.6,18.2,65.0,Apr-Jun 2020
1,2020-07-01,3633944.6,2647124.7,406804.8,580015.1,72.8,13.3,16.0,3215794.4,832529.8,202030.8,2181233.8,25.9,19.5,67.8,Jul-Sep 2020
2,2020-10-01,3686025.4,2687311.0,405141.9,593572.5,72.9,13.1,16.1,3146708.6,773657.5,192923.1,2180127.9,24.6,20.0,69.3,Oct-Dec 2020
3,2021-01-01,3640297.0,2684594.2,369831.9,585870.9,73.7,12.1,16.1,3175866.0,753537.6,174776.8,2247551.6,23.7,18.8,70.8,Jan-Mar 2021
4,2021-04-01,3584583.9,2723441.8,320490.5,540651.6,76.0,10.5,15.1,3220557.1,801544.5,205562.1,2213450.5,24.9,20.4,68.7,Apr-Jun 2021
5,2021-07-01,3585777.7,2686769.4,302837.9,596170.3,74.9,10.1,16.6,3229333.3,926750.6,173939.7,2128643.1,28.7,15.8,65.9,Jul-Sep 2021
6,2021-10-01,3602632.7,2689906.6,294305.9,618420.2,74.7,9.9,17.2,3210692.3,1007395.7,166477.8,2036818.7,31.4,14.2,63.4,Oct-Dec 2021
7,2022-01-01,3633385.5,2752445.8,278632.5,602307.2,75.8,9.2,16.6,3183311.5,954573.1,159050.3,2069688.1,30.0,14.3,65.0,Jan-Mar 2022
8,2022-04-01,3669306.6,2782289.6,268826.4,618190.6,75.8,8.8,16.8,3154213.4,925370.4,160132.6,2068710.5,29.3,14.8,65.6,Apr-Jun 2022
9,2022-07-01,3638378.2,2751883.9,252957.0,633537.3,75.6,8.4,17.4,3201637.8,942295.7,146540.3,2112801.8,29.4,13.5,66.0,Jul-Sep 2022
10,2022-10-01,3729826.0,2728780.9,320620.9,680424.2,73.2,10.5,18.2,3107911.0,971312.8,150389.7,1986208.4,31.3,13.4,63.9,Oct-Dec 2022
11,2023-01-01,3816376.1,2833732.2,330509.0,652134.9,74.3,10.4,17.1,3024734.9,963885.0,151789.4,1909060.5,31.9,13.6,63.1,Jan-Mar 2023
