quarter_index,quarter_start,age_16_to_24_unemployed_sa,age_16_to_24_unemployed_over_12_months_sa,age_16_to_24_unemployed_over_6_months_sa,age_16_to_24_unemployed_over_12_months_rate_sa,age_16_to_24_unemployed_over_6_months_rate_sa,quarter_label
0,1992-04-01,857680.0,222569.0,180578.0,26.0,21.1,Apr-Jun 1992
1,1992-07-01,870171.0,238420.0,188581.0,27.4,21.7,Jul-Sep 1992
2,1992-10-01,893140.0,245857.0,186450.0,27.5,20.9,Oct-Dec 1992
3,1993-01-01,924425.0,277896.0,185618.0,30.1,20.1,Jan-Mar 1993
4,1993-04-01,902967.0,284107.0,183714.0,31.5,20.3,Apr-Jun 1993
5,1993-07-01,874716.0,285349.0,173631.0,32.6,19.8,Jul-Sep 1993
6,1993-10-01,878614.0,276741.0,168378.0,31.5,19.2,Oct-Dec 1993
7,1994-01-01,825814.0,252490.0,161589.0,30.6,19.6,Jan-Mar 1994
8,1994-04-01,811896.0,247554.0,145700.0,30.5,17.9,Apr-Jun 1994
9,1994-07-01,804309.0,237362.0,140940.0,29.5,17.5,Jul-Sep 1994
10,1994-10-01,754814.0,219310.0,133043.0,29.1,17.6,Oct-Dec 1994
11,1995-01-01,753665.0,204417.0,129154.0,27.1,17.1,Jan-Mar 1995
12,1995-04-01,739371.0,184119.0,137650.0,24.9,18.6,Apr-Jun 1995
13,1995-07-01,730102.0,185179.0,119504.0,25.4,16.4,Jul-Sep 1995
14,1995-10-01,705356.0,160047.0,129459.0,22.7,18.4,Oct-Dec 1995
15,1996-01-01,709382.0,161989.0,128420.0,22.8,18.1,Jan-Mar 1996
16,1996-04-01,714219.0,163959.0,123295.0,23.0,17.3,Apr-Jun 1996
17,1996-07-01,707864.0,156689.0,110768.0,22.1,15.6,Jul-Sep 1996
18,1996-10-01,707057.0,160880.0,106743.0,22.8,15.1,Oct-Dec 1996
19,1997-01-01,667926.0,154091.0,104515.0,23.1,15.6,Jan-Mar 1997
20,1997-04-01,664292.0,126757.0,94770.0,19.1,14.3,Apr-Jun 1997
21,1997-07-01,636433.0,135909.0,95995.0,21.4,15.1,Jul-Sep 1997
22,1997-10-01,606621.0,117046.0,99068.0,19.3,16.3,Oct-Dec 1997
23,1998-01-01,602143.0,101423.0,85950.0,16.8,14.3,Jan-Mar 1998
24,1998-04-01,609135.0,93363.0,82906.0,15.3,13.6,Apr-Jun 1998
25,1998-07-01,611814.0,86053.0,97260.0,14.1,15.9,Jul-Sep 1998
26,1998-10-01,614796.0,73318.0,91760.0,11.9,14.9,Oct-Dec 1998
27,1999-01-01,604838.0,76029.0,92258.0,12.6,15.3,Jan-Mar 1999
28,1999-04-01,590986.0,70849.0,94516.0,12.0,16.0,Apr-Jun 1999
29,1999-07-01,564824.0,71964.0,83996.0,12.7,14.9,Jul-Sep 1999
30,1999-10-01,561115.0,76109.0,78742.0,13.6,14.0,Oct-Dec 1999
31,2000-01-01,581293.0,64935.0,83383.0,11.2,14.3,Jan-Mar 2000
32,2000-04-01,551880.0,74142.0,81539.0,13.4,14.8,Apr-Jun 2000
33,2000-07-01,545321.0,73453.0,76583.0,13.5,14.0,Jul-Sep 2000
34,2000-10-01,548420.0,60181.0,81223.0,11.0,14.8,Oct-Dec 2000
35,2001-01-01,536113.0,65000.0,71932.0,12.1,13.4,Jan-Mar 2001
36,2001-04-01,527099.0,64110.0,64123.0,12.2,12.2,Apr-Jun 2001
37,2001-07-01,541070.0,67108.0,69124.0,12.4,12.8,Jul-Sep 2001
38,2001-10-01,567846.0,64271.0,72902.0,11.3,12.8,Oct-Dec 2001
39,2002-01-01,561602.0,56667.0,78442.0,10.1,14.0,Jan-Mar 2002
40,2002-04-01,548837.0,53497.0,78771.0,9.7,14.4,Apr-Jun 2002
41,2002-07-01,561229.0,61418.0,73388.0,10.9,13.1,Jul-Sep 2002
42,2002-10-01,569954.0,56108.0,74407.0,9.8,13.1,Oct-Dec 2002
43,2003-01-01,592999.0,63302.0,77094.0,10.7,13.0,Jan-Mar 2003
44,2003-04-01,574518.0,65374.0,67819.0,11.4,11.8,Apr-Jun 2003
45,2003-07-01,578103.0,66971.0,71397.0,11.6,12.4,Jul-Sep 2003
46,2003-10-01,551004.0,63259.0,80964.0,11.5,14.7,Oct-Dec 2003
47,2004-01-01,571690.0,67501.0,88564.0,11.8,15.5,Jan-Mar 2004
48,2004-04-01,572470.0,60309.0,91726.0,10.5,16.0,Apr-Jun 2004
49,2004-07-01,587500.0,65893.0,84563.0,11.2,14.4,Jul-Sep 2004
50,2004-10-01,594400.0,62298.0,92624.0,10.5,15.6,Oct-Dec 2004
51,2005-01-01,583700.0,68293.0,77283.0,11.7,13.2,Jan-Mar 2005
52,2005-04-01,606626.0,78410.0,81112.0,12.9,13.4,Apr-Jun 2005
53,2005-07-01,602772.0,74285.0,102179.0,12.3,17.0,Jul-Sep 2005
54,2005-10-01,655962.0,85233.0,110846.0,13.0,16.9,Oct-Dec 2005
55,2006-01-01,650950.0,83327.0,112837.0,12.8,17.3,Jan-Mar 2006
56,2006-04-01,687714.0,92729.0,118143.0,13.5,17.2,Apr-Jun 2006
57,2006-07-01,692541.0,101351.0,117246.0,14.6,16.9,Jul-Sep 2006
58,2006-10-01,686285.0,88309.0,106156.0,12.9,15.5,Oct-Dec 2006
59,2007-01-01,702012.0,101846.0,104486.0,14.5,14.9,Jan-Mar 2007
60,2007-04-01,707409.0,105406.0,112627.0,14.9,15.9,Apr-Jun 2007
61,2007-07-01,699366.0,109910.0,107318.0,15.7,15.3,Jul-Sep 2007
62,2007-10-01,672789.0,111536.0,103373.0,16.6,15.4,Oct-Dec 2007
63,2008-01-01,677003.0,107811.0,104210.0,15.9,15.4,Jan-Mar 2008
64,2008-04-01,704997.0,114774.0,105663.0,16.3,15.0,Apr-Jun 2008
65,2008-07-01,753421.0,119200.0,110046.0,15.8,14.6,Jul-Sep 2008
66,2008-10-01,797715.0,118495.0,134865.0,14.9,16.9,Oct-Dec 2008
67,2009-01-01,863640.0,137497.0,154131.0,15.9,17.8,Jan-Mar 2009
68,2009-04-01,916110.0,162113.0,183460.0,17.7,20.0,Apr-Jun 2009
69,2009-07-01,933343.0,193843.0,195317.0,20.8,20.9,Jul-Sep 2009
70,2009-10-01,900496.0,184346.0,177666.0,20.5,19.7,Oct-Dec 2009
71,2010-01-01,937580.0,212218.0,204379.0,22.6,21.8,Jan-Mar 2010
72,2010-04-01,927298.0,206680.0,185765.0,22.3,20.0,Apr-Jun 2010
73,2010-07-01,906846.0,217828.0,157095.0,24.0,17.3,Jul-Sep 2010
74,2010-10-01,959563.0,234707.0,175284.0,24.5,18.3,Oct-Dec 2010
75,2011-01-01,942973.0,224540.0,175192.0,23.8,18.6,Jan-Mar 2011
76,2011-04-01,967094.0,229674.0,169195.0,23.7,17.5,Apr-Jun 2011
77,2011-07-01,1040265.0,261402.0,206404.0,25.1,19.8,Jul-Sep 2011
78,2011-10-01,1041562.0,246389.0,213560.0,23.7,20.5,Oct-Dec 2011
79,2012-01-01,1026081.0,263186.0,216948.0,25.6,21.1,Jan-Mar 2012
80,2012-04-01,1019068.0,267364.0,216171.0,26.2,21.2,Apr-Jun 2012
81,2012-07-01,985780.0,272849.0,176195.0,27.7,17.9,Jul-Sep 2012
82,2012-10-01,991116.0,280186.0,168109.0,28.3,17.0,Oct-Dec 2012
83,2013-01-01,965793.0,274008.0,160292.0,28.4,16.6,Jan-Mar 2013
84,2013-04-01,983420.0,277478.0,166876.0,28.2,17.0,Apr-Jun 2013
85,2013-07-01,986563.0,285342.0,167935.0,28.9,17.0,Jul-Sep 2013
86,2013-10-01,931496.0,259036.0,167399.0,27.8,18.0,Oct-Dec 2013
87,2014-01-01,866543.0,247484.0,144480.0,28.6,16.7,Jan-Mar 2014
