Category,Response,White,Asian/Asian British,Black/African/Caribbean/Black British,Other
---,---,---,---,---,---
Making a job application,Making an initial application for a job,49,29,61,45
At a job interview ,At a job interview,50,30,57,45
Trying to get promoted,Trying to get promoted at work,56,29,54,41
Annual review/appraisal,At an annual review or appraisal at work,47,20,48,37
At team meetings,At team meetings/gatherings at work,51,27,53,43
At a job centre ,With a job/work coach at a job centre,50,22,55,37
With a careers adviser,With a careers adviser,58,24,46,30
When work is allocated,When work is being divided up and allocated to staff,56,26,53,43
Engaging with clients ,"When engaging with customers, clients or external people",55,39,62,50
Work social events ,Work social events,45,27,54,46
Seeking investment,When seeking investment to start my own business,56,23,47,39
Looking for new clients,When looking for new customers/clients for my own business,52,21,50,44
