row,code,value,date,quarter_label,quarter_axis_label
0,AP2Y,680.0,2001-04-01,Mar-May 2001,Mar-May\n2001
1,AP2Y,663.0,2001-07-01,Jun-Aug 2001,Jun-Aug\n2001
2,AP2Y,602.0,2001-10-01,Sep-Nov 2001,Sep-Nov\n2001
3,AP2Y,617.0,2002-01-01,Dec-Feb 2002,Dec-Feb\n2002
4,AP2Y,616.0,2002-04-01,Mar-May 2002,Mar-May\n2002
5,AP2Y,609.0,2002-07-01,Jun-Aug 2002,Jun-Aug\n2002
6,AP2Y,603.0,2002-10-01,Sep-Nov 2002,Sep-Nov\n2002
7,AP2Y,594.0,2003-01-01,Dec-Feb 2003,Dec-Feb\n2003
8,AP2Y,579.0,2003-04-01,Mar-May 2003,Mar-May\n2003
9,AP2Y,592.0,2003-07-01,Jun-Aug 2003,Jun-Aug\n2003
10,AP2Y,615.0,2003-10-01,Sep-Nov 2003,Sep-Nov\n2003
11,AP2Y,624.0,2004-01-01,Dec-Feb 2004,Dec-Feb\n2004
12,AP2Y,641.0,2004-04-01,Mar-May 2004,Mar-May\n2004
13,AP2Y,654.0,2004-07-01,Jun-Aug 2004,Jun-Aug\n2004
14,AP2Y,662.0,2004-10-01,Sep-Nov 2004,Sep-Nov\n2004
15,AP2Y,642.0,2005-01-01,Dec-Feb 2005,Dec-Feb\n2005
16,AP2Y,642.0,2005-04-01,Mar-May 2005,Mar-May\n2005
17,AP2Y,622.0,2005-07-01,Jun-Aug 2005,Jun-Aug\n2005
18,AP2Y,609.0,2005-10-01,Sep-Nov 2005,Sep-Nov\n2005
19,AP2Y,600.0,2006-01-01,Dec-Feb 2006,Dec-Feb\n2006
20,AP2Y,604.0,2006-04-01,Mar-May 2006,Mar-May\n2006
21,AP2Y,611.0,2006-07-01,Jun-Aug 2006,Jun-Aug\n2006
22,AP2Y,620.0,2006-10-01,Sep-Nov 2006,Sep-Nov\n2006
23,AP2Y,642.0,2007-01-01,Dec-Feb 2007,Dec-Feb\n2007
24,AP2Y,659.0,2007-04-01,Mar-May 2007,Mar-May\n2007
25,AP2Y,683.0,2007-07-01,Jun-Aug 2007,Jun-Aug\n2007
26,AP2Y,687.0,2007-10-01,Sep-Nov 2007,Sep-Nov\n2007
27,AP2Y,697.0,2008-01-01,Dec-Feb 2008,Dec-Feb\n2008
28,AP2Y,657.0,2008-04-01,Mar-May 2008,Mar-May\n2008
29,AP2Y,615.0,2008-07-01,Jun-Aug 2008,Jun-Aug\n2008
30,AP2Y,527.0,2008-10-01,Sep-Nov 2008,Sep-Nov\n2008
31,AP2Y,465.0,2009-01-01,Dec-Feb 2009,Dec-Feb\n2009
32,AP2Y,431.0,2009-04-01,Mar-May 2009,Mar-May\n2009
