geography_code,date,date_name,value,notes
E14000530,2024-03-01,Apr 2023-Mar 2024,11.3,Normal Value
E14000531,2024-03-01,Apr 2023-Mar 2024,14.2,Normal Value
E14000532,2024-03-01,Apr 2023-Mar 2024,20.5,Normal Value
E14000533,2024-03-01,Apr 2023-Mar 2024,23.1,Normal Value
E14000534,2024-03-01,Apr 2023-Mar 2024,20.4,Normal Value
E14000535,2024-03-01,Apr 2023-Mar 2024,27.3,Normal Value
E14000536,2024-03-01,Apr 2023-Mar 2024,26.4,Normal Value
E14000537,2024-03-01,Apr 2023-Mar 2024,22.3,Normal Value
E14000538,2024-03-01,Apr 2023-Mar 2024,10.7,Normal Value
E14000539,2024-03-01,Apr 2023-Mar 2024,14.6,Normal Value
E14000540,2024-03-01,Apr 2023-Mar 2024,26.9,Normal Value
E14000541,2024-03-01,Apr 2023-Mar 2024,30.9,Normal Value
E14000542,2024-03-01,Apr 2023-Mar 2024,25.7,Normal Value
E14000543,2024-03-01,Apr 2023-Mar 2024,27.7,Normal Value
E14000544,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000545,2024-03-01,Apr 2023-Mar 2024,15.9,Normal Value
E14000546,2024-03-01,Apr 2023-Mar 2024,24.1,Normal Value
E14000547,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000548,2024-03-01,Apr 2023-Mar 2024,30.7,Normal Value
E14000549,2024-03-01,Apr 2023-Mar 2024,6.8,Normal Value
E14000550,2024-03-01,Apr 2023-Mar 2024,19.3,Normal Value
E14000551,2024-03-01,Apr 2023-Mar 2024,21.2,Normal Value
E14000552,2024-03-01,Apr 2023-Mar 2024,14.2,Normal Value
E14000553,2024-03-01,Apr 2023-Mar 2024,20.4,Normal Value
E14000554,2024-03-01,Apr 2023-Mar 2024,29.1,Normal Value
E14000555,2024-03-01,Apr 2023-Mar 2024,30.0,Normal Value
E14000556,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000557,2024-03-01,Apr 2023-Mar 2024,33.4,Normal Value
E14000558,2024-03-01,Apr 2023-Mar 2024,21.2,Normal Value
E14000559,2024-03-01,Apr 2023-Mar 2024,29.4,Normal Value
E14000560,2024-03-01,Apr 2023-Mar 2024,21.7,Normal Value
E14000561,2024-03-01,Apr 2023-Mar 2024,39.6,Normal Value
E14000562,2024-03-01,Apr 2023-Mar 2024,26.8,Normal Value
E14000563,2024-03-01,Apr 2023-Mar 2024,48.3,Normal Value
E14000564,2024-03-01,Apr 2023-Mar 2024,17.4,Normal Value
E14000565,2024-03-01,Apr 2023-Mar 2024,26.5,Normal Value
E14000566,2024-03-01,Apr 2023-Mar 2024,21.7,Normal Value
E14000567,2024-03-01,Apr 2023-Mar 2024,27.9,Normal Value
E14000568,2024-03-01,Apr 2023-Mar 2024,35.9,Normal Value
E14000569,2024-03-01,Apr 2023-Mar 2024,21.2,Normal Value
E14000570,2024-03-01,Apr 2023-Mar 2024,27.9,Normal Value
E14000571,2024-03-01,Apr 2023-Mar 2024,29.5,Normal Value
E14000572,2024-03-01,Apr 2023-Mar 2024,21.4,Normal Value
E14000573,2024-03-01,Apr 2023-Mar 2024,36.6,Normal Value
E14000574,2024-03-01,Apr 2023-Mar 2024,28.1,Normal Value
E14000575,2024-03-01,Apr 2023-Mar 2024,13.6,Normal Value
E14000576,2024-03-01,Apr 2023-Mar 2024,7.2,Normal Value
E14000577,2024-03-01,Apr 2023-Mar 2024,19.8,Normal Value
E14000578,2024-03-01,Apr 2023-Mar 2024,35.4,Normal Value
E14000579,2024-03-01,Apr 2023-Mar 2024,28.8,Normal Value
E14000580,2024-03-01,Apr 2023-Mar 2024,24.3,Normal Value
E14000581,2024-03-01,Apr 2023-Mar 2024,23.6,Normal Value
E14000582,2024-03-01,Apr 2023-Mar 2024,25.8,Normal Value
E14000583,2024-03-01,Apr 2023-Mar 2024,15.1,Normal Value
E14000584,2024-03-01,Apr 2023-Mar 2024,22.0,Normal Value
E14000585,2024-03-01,Apr 2023-Mar 2024,25.7,Normal Value
E14000586,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000587,2024-03-01,Apr 2023-Mar 2024,33.5,Normal Value
E14000588,2024-03-01,Apr 2023-Mar 2024,29.2,Normal Value
E14000589,2024-03-01,Apr 2023-Mar 2024,25.2,Normal Value
E14000590,2024-03-01,Apr 2023-Mar 2024,34.0,Normal Value
E14000591,2024-03-01,Apr 2023-Mar 2024,24.6,Normal Value
E14000592,2024-03-01,Apr 2023-Mar 2024,22.9,Normal Value
E14000593,2024-03-01,Apr 2023-Mar 2024,18.1,Normal Value
E14000594,2024-03-01,Apr 2023-Mar 2024,12.8,Normal Value
E14000595,2024-03-01,Apr 2023-Mar 2024,12.8,Normal Value
E14000596,2024-03-01,Apr 2023-Mar 2024,17.1,Normal Value
E14000597,2024-03-01,Apr 2023-Mar 2024,20.1,Normal Value
E14000598,2024-03-01,Apr 2023-Mar 2024,18.7,Normal Value
E14000599,2024-03-01,Apr 2023-Mar 2024,16.7,Normal Value
E14000600,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000601,2024-03-01,Apr 2023-Mar 2024,18.4,Normal Value
E14000602,2024-03-01,Apr 2023-Mar 2024,22.4,Normal Value
E14000603,2024-03-01,Apr 2023-Mar 2024,35.3,Normal Value
E14000604,2024-03-01,Apr 2023-Mar 2024,14.4,Normal Value
E14000605,2024-03-01,Apr 2023-Mar 2024,16.5,Normal Value
E14000606,2024-03-01,Apr 2023-Mar 2024,18.0,Normal Value
E14000607,2024-03-01,Apr 2023-Mar 2024,11.8,Normal Value
E14000608,2024-03-01,Apr 2023-Mar 2024,13.0,Normal Value
E14000609,2024-03-01,Apr 2023-Mar 2024,22.7,Normal Value
E14000610,2024-03-01,Apr 2023-Mar 2024,18.4,Normal Value
E14000611,2024-03-01,Apr 2023-Mar 2024,21.8,Normal Value
E14000612,2024-03-01,Apr 2023-Mar 2024,33.9,Normal Value
E14000613,2024-03-01,Apr 2023-Mar 2024,26.8,Normal Value
E14000614,2024-03-01,Apr 2023-Mar 2024,23.2,Normal Value
E14000615,2024-03-01,Apr 2023-Mar 2024,12.9,Normal Value
E14000616,2024-03-01,Apr 2023-Mar 2024,13.2,Normal Value
E14000617,2024-03-01,Apr 2023-Mar 2024,17.7,Normal Value
E14000618,2024-03-01,Apr 2023-Mar 2024,11.5,Normal Value
E14000619,2024-03-01,Apr 2023-Mar 2024,27.1,Normal Value
E14000620,2024-03-01,Apr 2023-Mar 2024,11.4,Normal Value
E14000621,2024-03-01,Apr 2023-Mar 2024,17.9,Normal Value
E14000622,2024-03-01,Apr 2023-Mar 2024,13.7,Normal Value
E14000623,2024-03-01,Apr 2023-Mar 2024,24.0,Normal Value
E14000624,2024-03-01,Apr 2023-Mar 2024,18.3,Normal Value
E14000625,2024-03-01,Apr 2023-Mar 2024,12.6,Normal Value
E14000626,2024-03-01,Apr 2023-Mar 2024,15.2,Normal Value
E14000627,2024-03-01,Apr 2023-Mar 2024,16.9,Normal Value
E14000628,2024-03-01,Apr 2023-Mar 2024,18.7,Normal Value
E14000629,2024-03-01,Apr 2023-Mar 2024,28.2,Normal Value
E14000630,2024-03-01,Apr 2023-Mar 2024,14.6,Normal Value
E14000631,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000632,2024-03-01,Apr 2023-Mar 2024,28.0,Normal Value
E14000633,2024-03-01,Apr 2023-Mar 2024,31.5,Normal Value
E14000634,2024-03-01,Apr 2023-Mar 2024,18.3,Normal Value
E14000635,2024-03-01,Apr 2023-Mar 2024,14.8,Normal Value
E14000636,2024-03-01,Apr 2023-Mar 2024,33.9,Normal Value
E14000637,2024-03-01,Apr 2023-Mar 2024,21.9,Normal Value
E14000638,2024-03-01,Apr 2023-Mar 2024,26.0,Normal Value
E14000639,2024-03-01,Apr 2023-Mar 2024,22.4,Normal Value
E14000640,2024-03-01,Apr 2023-Mar 2024,15.8,Normal Value
E14000641,2024-03-01,Apr 2023-Mar 2024,18.9,Normal Value
E14000642,2024-03-01,Apr 2023-Mar 2024,35.2,Normal Value
E14000643,2024-03-01,Apr 2023-Mar 2024,20.5,Normal Value
E14000644,2024-03-01,Apr 2023-Mar 2024,23.1,Normal Value
E14000645,2024-03-01,Apr 2023-Mar 2024,18.0,Normal Value
E14000646,2024-03-01,Apr 2023-Mar 2024,16.4,Normal Value
E14000647,2024-03-01,Apr 2023-Mar 2024,17.3,Normal Value
E14000648,2024-03-01,Apr 2023-Mar 2024,10.0,Normal Value
E14000649,2024-03-01,Apr 2023-Mar 2024,25.0,Normal Value
E14000650,2024-03-01,Apr 2023-Mar 2024,13.2,Normal Value
E14000651,2024-03-01,Apr 2023-Mar 2024,28.8,Normal Value
E14000652,2024-03-01,Apr 2023-Mar 2024,20.1,Normal Value
E14000653,2024-03-01,Apr 2023-Mar 2024,9.1,Normal Value
E14000654,2024-03-01,Apr 2023-Mar 2024,18.6,Normal Value
E14000655,2024-03-01,Apr 2023-Mar 2024,16.8,Normal Value
E14000656,2024-03-01,Apr 2023-Mar 2024,11.6,Normal Value
E14000657,2024-03-01,Apr 2023-Mar 2024,20.2,Normal Value
E14000658,2024-03-01,Apr 2023-Mar 2024,14.9,Normal Value
E14000659,2024-03-01,Apr 2023-Mar 2024,14.8,Normal Value
E14000660,2024-03-01,Apr 2023-Mar 2024,23.6,Normal Value
E14000661,2024-03-01,Apr 2023-Mar 2024,24.2,Normal Value
E14000662,2024-03-01,Apr 2023-Mar 2024,23.2,Normal Value
E14000663,2024-03-01,Apr 2023-Mar 2024,20.4,Normal Value
E14000664,2024-03-01,Apr 2023-Mar 2024,18.8,Normal Value
E14000665,2024-03-01,Apr 2023-Mar 2024,12.8,Normal Value
E14000666,2024-03-01,Apr 2023-Mar 2024,32.1,Normal Value
E14000667,2024-03-01,Apr 2023-Mar 2024,23.5,Normal Value
E14000668,2024-03-01,Apr 2023-Mar 2024,25.9,Normal Value
E14000669,2024-03-01,Apr 2023-Mar 2024,14.9,Normal Value
E14000670,2024-03-01,Apr 2023-Mar 2024,26.1,Normal Value
E14000671,2024-03-01,Apr 2023-Mar 2024,21.5,Normal Value
E14000672,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000673,2024-03-01,Apr 2023-Mar 2024,15.3,Normal Value
E14000674,2024-03-01,Apr 2023-Mar 2024,19.7,Normal Value
E14000675,2024-03-01,Apr 2023-Mar 2024,16.7,Normal Value
E14000676,2023-06-01,Jul 2022-Jun 2023,16.8,Normal Value
E14000677,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000678,2024-03-01,Apr 2023-Mar 2024,15.8,Normal Value
E14000679,2024-03-01,Apr 2023-Mar 2024,23.4,Normal Value
E14000680,2024-03-01,Apr 2023-Mar 2024,9.1,Normal Value
E14000681,2024-03-01,Apr 2023-Mar 2024,20.2,Normal Value
E14000682,2024-03-01,Apr 2023-Mar 2024,19.8,Normal Value
E14000683,2024-03-01,Apr 2023-Mar 2024,29.6,Normal Value
E14000684,2024-03-01,Apr 2023-Mar 2024,17.4,Normal Value
E14000685,2024-03-01,Apr 2023-Mar 2024,19.0,Normal Value
E14000686,2024-03-01,Apr 2023-Mar 2024,23.3,Normal Value
E14000687,2024-03-01,Apr 2023-Mar 2024,33.8,Normal Value
E14000688,2024-03-01,Apr 2023-Mar 2024,31.8,Normal Value
E14000689,2024-03-01,Apr 2023-Mar 2024,26.4,Normal Value
E14000690,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000691,2024-03-01,Apr 2023-Mar 2024,33.6,Normal Value
E14000692,2024-03-01,Apr 2023-Mar 2024,21.6,Normal Value
E14000693,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000694,2024-03-01,Apr 2023-Mar 2024,10.3,Normal Value
E14000695,2024-03-01,Apr 2023-Mar 2024,13.7,Normal Value
E14000696,2024-03-01,Apr 2023-Mar 2024,14.7,Normal Value
E14000697,2024-03-01,Apr 2023-Mar 2024,22.6,Normal Value
E14000698,2024-03-01,Apr 2023-Mar 2024,18.0,Normal Value
E14000699,2024-03-01,Apr 2023-Mar 2024,12.6,Normal Value
E14000700,2024-03-01,Apr 2023-Mar 2024,26.2,Normal Value
E14000701,2024-03-01,Apr 2023-Mar 2024,28.4,Normal Value
E14000702,2024-03-01,Apr 2023-Mar 2024,10.1,Normal Value
E14000703,2024-03-01,Apr 2023-Mar 2024,13.8,Normal Value
E14000704,2024-03-01,Apr 2023-Mar 2024,21.5,Normal Value
E14000705,2024-03-01,Apr 2023-Mar 2024,15.8,Normal Value
E14000706,2024-03-01,Apr 2023-Mar 2024,29.9,Normal Value
E14000707,2024-03-01,Apr 2023-Mar 2024,25.5,Normal Value
E14000708,2024-03-01,Apr 2023-Mar 2024,28.3,Normal Value
E14000709,2024-03-01,Apr 2023-Mar 2024,20.8,Normal Value
E14000710,2024-03-01,Apr 2023-Mar 2024,22.4,Normal Value
E14000711,2024-03-01,Apr 2023-Mar 2024,19.5,Normal Value
E14000712,2024-03-01,Apr 2023-Mar 2024,9.4,Normal Value
E14000713,2024-03-01,Apr 2023-Mar 2024,20.6,Normal Value
E14000714,2024-03-01,Apr 2023-Mar 2024,25.6,Normal Value
E14000715,2024-03-01,Apr 2023-Mar 2024,13.2,Normal Value
E14000716,2024-03-01,Apr 2023-Mar 2024,28.8,Normal Value
E14000717,2024-03-01,Apr 2023-Mar 2024,28.2,Normal Value
E14000718,2024-03-01,Apr 2023-Mar 2024,9.8,Normal Value
E14000719,2024-03-01,Apr 2023-Mar 2024,15.5,Normal Value
E14000720,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000721,2024-03-01,Apr 2023-Mar 2024,12.5,Normal Value
