local_authority_name,value
Isles of Scilly,8.358336610884642
North East Lincolnshire,3.206114981640437
"Kingston upon Hull, City of",2.8668740513198303
Redcar and Cleveland,2.6972535861595275
Blackpool,2.4852280047091484
Middlesbrough,2.358012655838922
Hartlepool,2.3368100976938835
Mansfield,2.1883921906786186
Halton,2.082379399953429
Darlington,1.933961492938164
St. Helens,1.8279487022129748
Boston,1.8067461440679369
Doncaster,1.764341027777861
Thanet,1.7219359114877852
Sunderland,1.6795307951977096
Rotherham,1.615923120762596
Great Yarmouth,1.615923120762596
Walsall,1.5947205626175578
Wolverhampton,1.5947205626175578
Ipswich,1.5947205626175578
