LADCD,avg_att8,avg_att8,avg_att8,avg_p8score,avg_p8score,avg_p8score
,Boys,Girls,Total,Boys,Girls,Total
---,---,---,---,---,---,---
E06000001,38.6,44.3,41.3,-0.64,-0.27,-0.46
E06000002,37.2,42.8,40.1,-0.64,-0.3,-0.47
E06000003,43.3,47.4,45.3,-0.45,-0.19,-0.33
E06000004,44.4,47.4,45.9,-0.3,-0.06,-0.18
E06000005,43.7,48.8,46.3,-0.35,-0.06,-0.2
E06000006,39.3,46.4,42.8,-0.5,-0.08,-0.3
E06000007,45.7,50.5,48.0,-0.25,0.11,-0.08
E06000008,42.3,47.6,45.0,-0.22,0.08,-0.06
E06000009,33.3,36.8,34.9,-0.98,-0.71,-0.85
E06000010,42.1,44.1,43.0,-0.46,-0.35,-0.4
E06000011,44.0,47.2,45.6,-0.16,0.0,-0.08
E06000012,38.5,42.1,40.1,-0.6,-0.33,-0.48
E06000013,40.6,45.1,42.8,-0.32,-0.02,-0.18
E06000014,46.7,51.7,49.2,-0.07,0.29,0.11
E06000015,40.2,44.8,42.4,-0.29,-0.03,-0.17
E06000016,41.9,48.6,45.1,-0.05,0.34,0.14
E06000017,49.8,50.5,50.2,0.2,0.28,0.24
E06000018,40.6,44.4,42.5,-0.35,-0.1,-0.23
E06000019,42.2,47.8,44.8,-0.42,-0.07,-0.26
E06000020,42.4,47.7,44.9,-0.48,-0.12,-0.31
E06000021,38.2,42.9,40.5,-0.49,-0.21,-0.35
E06000022,46.3,53.3,49.7,0.06,0.47,0.26
E06000023,43.1,47.7,45.4,-0.22,0.15,-0.03
E06000024,44.7,48.4,46.5,-0.16,0.14,-0.02
E06000025,43.5,47.7,45.5,-0.14,0.19,0.02
E06000026,42.3,47.5,44.9,-0.31,-0.01,-0.16
E06000027,44.7,50.5,47.4,-0.3,0.03,-0.14
E06000030,41.7,47.1,44.2,-0.24,0.12,-0.07
E06000031,40.3,45.6,42.9,-0.12,0.23,0.05
E06000032,42.0,47.2,44.5,-0.07,0.29,0.11
E06000033,52.0,55.4,53.7,-0.05,0.17,0.06
E06000034,41.1,46.7,43.9,-0.28,0.0,-0.14
E06000035,43.6,47.1,45.4,-0.22,0.01,-0.11
E06000036,44.8,48.2,46.4,-0.12,0.11,-0.01
E06000037,47.7,50.5,49.1,0.1,0.34,0.22
E06000038,48.0,52.5,50.1,-0.17,0.26,0.03
E06000039,49.7,55.1,52.4,-0.07,0.4,0.16
E06000040,46.9,52.4,49.5,-0.04,0.27,0.11
E06000041,49.4,56.0,52.7,0.17,0.6,0.38
E06000042,42.7,46.5,44.5,-0.23,-0.04,-0.14
E06000043,46.4,49.4,47.8,-0.13,0.13,0.0
E06000044,36.4,40.7,38.4,-0.57,-0.34,-0.46
E06000045,40.3,45.7,42.9,-0.43,-0.13,-0.29
E06000046,39.0,43.2,41.0,-0.38,-0.09,-0.24
E06000047,43.2,47.7,45.4,-0.29,-0.07,-0.19
E06000049,44.7,48.9,46.8,-0.26,0.03,-0.12
E06000050,43.5,48.4,45.8,-0.2,0.1,-0.06
E06000051,41.0,47.2,44.0,-0.52,-0.07,-0.3
E06000052,42.2,46.4,44.2,-0.25,0.03,-0.12
E06000053,56.7,48.8,53.2,0.99,0.35,0.73
E06000054,44.9,48.9,46.9,-0.11,0.09,-0.01
E06000055,41.6,46.0,43.8,-0.02,0.24,0.11
E06000056,42.7,46.0,44.4,-0.2,-0.03,-0.12
E06000057,42.2,47.0,44.5,-0.32,-0.06,-0.2
E06000058,48.3,51.9,50.1,0.1,0.27,0.18
E06000059,42.2,46.2,44.1,-0.23,0.04,-0.1
E06000060,52.6,56.4,54.5,0.17,0.36,0.26
E06000061,42.4,46.1,44.2,-0.09,0.16,0.04
E06000062,43.4,47.2,45.2,-0.13,0.13,0.0
E06000063,40.6,46.0,43.2,-0.46,-0.09,-0.28
E06000064,43.9,48.7,46.3,-0.25,0.04,-0.1
E06000065,44.0,49.7,46.8,-0.13,0.15,0.01
E06000066,41.2,45.4,43.3,-0.33,-0.1,-0.21
E08000001,43.4,47.2,45.3,-0.2,0.05,-0.08
E08000002,43.4,46.3,44.8,-0.26,-0.02,-0.14
E08000003,42.6,47.3,44.9,-0.17,0.14,-0.02
E08000004,40.0,46.1,43.0,-0.38,0.02,-0.18
E08000005,39.4,43.2,41.2,-0.4,-0.14,-0.28
E08000006,38.6,42.7,40.6,-0.6,-0.38,-0.49
E08000007,44.8,49.3,47.0,-0.2,0.14,-0.04
E08000008,40.3,46.6,43.3,-0.4,0.0,-0.21
E08000009,55.2,58.9,57.0,0.16,0.32,0.24
E08000010,41.9,45.8,43.9,-0.52,-0.25,-0.39
E08000011,30.7,36.1,33.3,-1.08,-0.71,-0.9
E08000012,39.2,44.5,41.8,-0.6,-0.27,-0.43
E08000013,40.3,45.0,42.5,-0.51,-0.19,-0.35
E08000014,39.9,44.2,42.0,-0.65,-0.31,-0.48
E08000015,42.8,48.1,45.4,-0.3,0.08,-0.11
E08000016,42.1,45.8,43.9,-0.26,-0.05,-0.16
E08000017,42.8,46.2,44.5,-0.06,0.08,0.01
E08000018,41.0,45.5,43.2,-0.31,0.02,-0.15
E08000019,42.0,46.1,44.0,-0.22,0.04,-0.09
E08000021,40.3,45.1,42.6,-0.57,-0.23,-0.4
E08000022,44.3,49.8,46.8,-0.2,0.05,-0.09
E08000023,41.4,46.8,44.1,-0.44,-0.1,-0.27
E08000024,40.7,45.1,42.9,-0.59,-0.41,-0.5
E08000025,43.3,49.0,46.1,-0.14,0.2,0.03
E08000026,41.1,46.5,43.8,-0.26,0.17,-0.05
E08000027,40.6,44.5,42.5,-0.27,0.06,-0.11
E08000028,40.2,45.0,42.5,-0.2,0.08,-0.07
E08000029,43.4,48.7,45.9,-0.29,0.09,-0.11
E08000030,42.3,46.1,44.2,-0.35,-0.04,-0.2
E08000031,41.9,49.1,45.7,-0.21,0.16,-0.02
E08000032,38.6,43.6,41.0,-0.42,-0.09,-0.26
E08000033,44.6,49.5,47.0,-0.17,0.11,-0.03
E08000034,44.4,48.9,46.6,-0.07,0.29,0.11
E08000035,43.4,48.3,45.8,-0.04,0.29,0.12
E08000036,43.1,48.2,45.7,-0.03,0.28,0.12
E08000037,44.9,50.3,47.7,-0.25,0.03,-0.11
E09000002,44.9,51.4,48.0,0.03,0.47,0.24
E09000003,55.9,58.5,57.1,0.57,0.72,0.64
E09000004,48.4,51.0,49.7,-0.17,0.05,-0.06
E09000005,48.5,52.8,50.5,0.48,0.76,0.61
E09000006,48.7,53.6,51.2,-0.13,0.21,0.04
E09000007,43.9,51.4,48.0,-0.29,0.2,-0.03
E09000008,42.9,48.7,45.7,-0.15,0.19,0.01
E09000009,49.9,54.2,52.0,0.49,0.76,0.62
E09000010,44.2,49.9,47.0,0.03,0.4,0.21
