geography_code,value,notes
E14000530,25.2,Normal Value
E14000531,31.2,Normal Value
E14000532,50.6,Normal Value
E14000533,44.6,Normal Value
E14000534,24.0,Normal Value
E14000535,41.6,Normal Value
E14000536,38.6,Normal Value
E14000537,39.0,Normal Value
E14000538,28.3,Normal Value
E14000539,57.8,Normal Value
E14000540,67.6,Normal Value
E14000541,53.6,Normal Value
E14000542,34.8,Normal Value
E14000543,37.3,Normal Value
E14000544,33.5,Normal Value
E14000545,41.5,Normal Value
E14000546,38.8,Normal Value
E14000547,64.6,Normal Value
E14000548,26.1,Normal Value
E14000549,38.5,Normal Value
E14000550,33.9,Normal Value
E14000551,60.0,Normal Value
E14000552,32.0,Normal Value
E14000553,59.6,Normal Value
E14000554,34.7,Normal Value
E14000555,44.1,Normal Value
E14000556,42.8,Normal Value
E14000557,24.3,Normal Value
E14000558,38.3,Normal Value
E14000559,86.9,Normal Value
E14000560,60.5,Normal Value
E14000561,60.4,Normal Value
E14000562,44.1,Normal Value
E14000563,57.1,Normal Value
E14000564,27.0,Normal Value
E14000565,33.9,Normal Value
E14000566,39.8,Normal Value
E14000567,61.8,Normal Value
E14000568,55.6,Normal Value
E14000569,37.0,Normal Value
E14000570,64.2,Normal Value
E14000571,53.4,Normal Value
E14000572,48.1,Normal Value
E14000573,17.8,Normal Value
E14000574,52.5,Normal Value
E14000575,33.7,Normal Value
E14000576,13.9,Normal Value
E14000577,80.4,Normal Value
E14000578,59.3,Normal Value
E14000579,60.8,Normal Value
E14000580,21.7,Normal Value
E14000581,45.0,Normal Value
E14000582,41.6,Normal Value
E14000583,40.5,Normal Value
E14000584,38.6,Normal Value
E14000585,24.1,Normal Value
E14000586,43.7,Normal Value
E14000587,30.1,Normal Value
E14000588,23.0,Normal Value
E14000589,46.7,Normal Value
E14000590,16.8,Normal Value
E14000591,86.5,Normal Value
E14000592,78.9,Normal Value
E14000593,63.8,Normal Value
E14000594,32.1,Normal Value
E14000595,28.6,Normal Value
E14000596,24.1,Normal Value
E14000597,58.3,Normal Value
E14000598,35.2,Normal Value
E14000599,28.2,Normal Value
E14000600,51.6,Normal Value
E14000601,24.6,Normal Value
E14000602,42.4,Normal Value
E14000603,18.6,Normal Value
E14000604,42.7,Normal Value
E14000605,20.8,Normal Value
E14000606,59.2,Normal Value
E14000607,64.6,Normal Value
E14000608,24.2,Normal Value
E14000609,74.7,Normal Value
E14000610,25.9,Normal Value
E14000611,18.7,Normal Value
E14000612,26.1,Normal Value
E14000613,41.5,Normal Value
E14000614,54.6,Normal Value
E14000615,45.6,Normal Value
E14000616,50.8,Normal Value
E14000617,15.6,Normal Value
E14000618,26.8,Normal Value
E14000619,83.9,Normal Value
E14000620,24.8,Normal Value
E14000621,31.6,Normal Value
E14000622,15.4,Normal Value
E14000623,32.5,Normal Value
E14000624,43.7,Normal Value
E14000625,35.4,Normal Value
E14000626,37.6,Normal Value
E14000627,29.4,Normal Value
E14000628,26.0,Normal Value
E14000629,61.3,Normal Value
E14000630,30.9,Normal Value
E14000631,55.9,Normal Value
E14000632,35.7,Normal Value
E14000633,81.7,Normal Value
E14000634,39.8,Normal Value
E14000635,37.1,Normal Value
