geography_code,date,date_name,value,notes
E14000572,2023-03-01,Apr 2022-Mar 2023,50.0,Normal Value
E14000782,2023-03-01,Apr 2022-Mar 2023,30.4,Normal Value
E14000531,2023-03-01,Apr 2022-Mar 2023,35.8,Normal Value
E14000651,2023-03-01,Apr 2022-Mar 2023,30.4,Normal Value
E14000847,2023-03-01,Apr 2022-Mar 2023,27.6,Normal Value
E14000933,2023-03-01,Apr 2022-Mar 2023,23.0,Normal Value
E14000995,2023-03-01,Apr 2022-Mar 2023,21.0,Normal Value
E14001013,2023-03-01,Apr 2022-Mar 2023,55.0,Normal Value
E14000851,2023-03-01,Apr 2022-Mar 2023,29.6,Normal Value
E14001038,2023-03-01,Apr 2022-Mar 2023,20.8,Normal Value
