country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,20_24_MEN,PC_AGE,A,2022,10.1
AUT,NEET,20_24_MEN,PC_AGE,A,2022,11.6
BEL,NEET,20_24_MEN,PC_AGE,A,2022,12.1
CAN,NEET,20_24_MEN,PC_AGE,A,2022,15.6
CZE,NEET,20_24_MEN,PC_AGE,A,2022,7.1
DNK,NEET,20_24_MEN,PC_AGE,A,2022,11.3
FIN,NEET,20_24_MEN,PC_AGE,A,2022,11.3
FRA,NEET,20_24_MEN,PC_AGE,A,2022,17.3
DEU,NEET,20_24_MEN,PC_AGE,A,2022,8.7
GRC,NEET,20_24_MEN,PC_AGE,A,2022,17.3
HUN,NEET,20_24_MEN,PC_AGE,A,2022,11.6
ISL,NEET,20_24_MEN,PC_AGE,A,2022,7.2
IRL,NEET,20_24_MEN,PC_AGE,A,2022,11.3
ITA,NEET,20_24_MEN,PC_AGE,A,2022,26.3
MEX,NEET,20_24_MEN,PC_AGE,A,2022,9.5
NLD,NEET,20_24_MEN,PC_AGE,A,2022,4.4
NZL,NEET,20_24_MEN,PC_AGE,A,2022,13.7
NOR,NEET,20_24_MEN,PC_AGE,A,2022,8.3
POL,NEET,20_24_MEN,PC_AGE,A,2022,13.5
PRT,NEET,20_24_MEN,PC_AGE,A,2022,13.9
SVK,NEET,20_24_MEN,PC_AGE,A,2022,13.7
ESP,NEET,20_24_MEN,PC_AGE,A,2022,19.3
SWE,NEET,20_24_MEN,PC_AGE,A,2022,9.7
CHE,NEET,20_24_MEN,PC_AGE,A,2022,14.8
TUR,NEET,20_24_MEN,PC_AGE,A,2022,21.6
GBR,NEET,20_24_MEN,PC_AGE,A,2022,13.2
USA,NEET,20_24_MEN,PC_AGE,A,2022,15.4
BRA,NEET,20_24_MEN,PC_AGE,A,2022,18.3
COL,NEET,20_24_MEN,PC_AGE,A,2022,17.3
EST,NEET,20_24_MEN,PC_AGE,A,2022,20.9
ISR,NEET,20_24_MEN,PC_AGE,A,2022,16.0
LVA,NEET,20_24_MEN,PC_AGE,A,2022,13.0
LTU,NEET,20_24_MEN,PC_AGE,A,2022,16.4
SVN,NEET,20_24_MEN,PC_AGE,A,2022,6.9
ZAF,NEET,20_24_MEN,PC_AGE,A,2022,53.0
CRI,NEET,20_24_MEN,PC_AGE,A,2022,12.1
OAVG,NEET,20_24_MEN,PC_AGE,A,2022,13.3
BGR,NEET,20_24_MEN,PC_AGE,A,2022,16.1
ROU,NEET,20_24_MEN,PC_AGE,A,2022,17.7
