Country,country_code,sex,age,series,frequency,time,powercode,Number of people (thousands)
United States,USA,All persons,15 to 24,Unemployment,Annual,2022,Thousands,1714.0
Türkiye,TUR,All persons,15 to 24,Unemployment,Annual,2022,Thousands,1023.0
Colombia,COL,All persons,15 to 24,Unemployment,Annual,2022,Thousands,799.4
Mexico,MEX,All persons,15 to 24,Unemployment,Annual,2022,Thousands,634.6
France,FRA,All persons,15 to 24,Unemployment,Annual,2022,Thousands,574.4
Spain,ESP,All persons,15 to 24,Unemployment,Annual,2022,Thousands,482.9
United Kingdom,GBR,All persons,15 to 24,Unemployment,Annual,2022,Thousands,425.7
Italy,ITA,All persons,15 to 24,Unemployment,Annual,2022,Thousands,356.0
Canada,CAN,All persons,15 to 24,Unemployment,Annual,2022,Thousands,294.2
Germany,DEU,All persons,15 to 24,Unemployment,Annual,2022,Thousands,265.9
Japan,JPN,All persons,15 to 24,Unemployment,Annual,2022,Thousands,240.0
Australia,AUS,All persons,15 to 24,Unemployment,Annual,2022,Thousands,184.8
Sweden,SWE,All persons,15 to 24,Unemployment,Annual,2022,Thousands,144.3
Chile,CHL,All persons,15 to 24,Unemployment,Annual,2022,Thousands,136.4
Netherlands,NLD,All persons,15 to 24,Unemployment,Annual,2022,Thousands,134.0
Poland,POL,All persons,15 to 24,Unemployment,Annual,2022,Thousands,113.5
Korea,KOR,All persons,15 to 24,Unemployment,Annual,2022,Thousands,108.9
Costa Rica,CRI,All persons,15 to 24,Unemployment,Annual,2022,Thousands,103.8
Greece,GRC,All persons,15 to 24,Unemployment,Annual,2022,Thousands,77.1
