local_authority_code,local_authority_name,value
E06000001,Hartlepool,2.0820339902042746
E06000002,Middlesbrough,1.943072497480244
E06000003,Redcar and Cleveland,1.2482650338600871
E06000004,Stockton-on-Tees,1.4706034222185371
E06000005,Darlington,1.1926804367704746
E06000006,Halton,1.4983957207633434
E06000007,Warrington,-0.085765296290613
E06000008,Blackburn with Darwen,0.470080674605512
E06000009,Blackpool,3.832948798527069
E06000010,"Kingston upon Hull, City of",1.943072497480244
E06000011,East Riding of Yorkshire,-0.7527804613659632
E06000012,North East Lincolnshire,2.9435952450932685
E06000013,North Lincolnshire,-0.6694035657315444
E06000014,York,-0.0023884006561942
E06000015,Derby,0.7480036600535745
E06000016,Leicester,-0.2525190875594506
E06000017,Rutland,-1.364211029351701
E06000018,Nottingham,0.803588257143187
E06000019,"Herefordshire, County of",0.8869651527776059
E06000020,Telford and Wrekin,0.6090421673295433
E06000021,Stoke-on-Trent,2.6378799611004
E06000022,Bath and North East Somerset,-0.6971958642763506
E06000023,"Bristol, City of",-0.1413498933802255
E06000024,North Somerset,-0.947326551179607
E06000025,South Gloucestershire,-1.0307034468140257
E06000026,Plymouth,0.4144960775158995
E06000027,Torbay,1.0537189440464434
E06000030,Swindon,-0.4192728788282881
E06000031,Peterborough,-0.3914805802834818
E06000032,Luton,-0.4192728788282881
E06000033,Southend-on-Sea,0.1643653906126432
E06000034,Thurrock,-0.3636882817386756
E06000035,Medway,-0.308103684649063
E06000036,Bracknell Forest,-0.8639496555451882
E06000037,West Berkshire,-0.8917419540899945
E06000038,Reading,-0.4470651773730943
E06000039,Slough,-0.7527804613659632
E06000040,Windsor and Maidenhead,-1.169664939538057
E06000041,Wokingham,-1.3086264322620882
E06000042,Milton Keynes,-0.7805727599107695
E06000043,Brighton and Hove,0.0531961964334182
E06000044,Portsmouth,0.358911480426287
E06000045,Southampton,0.9425497498672184
E06000046,Isle of Wight,0.9981343469568308
E06000047,County Durham,0.5256652716951246
E06000049,Cheshire East,-0.3636882817386756
E06000050,Cheshire West and Chester,-0.085765296290613
E06000051,Shropshire,0.6646267644191558
E06000052,Cornwall,-0.8917419540899945
E06000053,Isles of Scilly,-2.2257722842406946
E06000054,Wiltshire,-1.0862880439036382
E06000055,Bedford,-0.4192728788282881
E06000056,Central Bedfordshire,-0.8083650584555757
E06000057,Northumberland,-0.196934490469838
E06000058,"Bournemouth, Christchurch and Poole",-0.3914805802834818
E06000059,Dorset,-0.3358959831938693
E06000060,Buckinghamshire,-1.0862880439036382
E06000061,North Northamptonshire,-0.3914805802834818
E06000062,West Northamptonshire,-0.2247267890146443
E08000001,Bolton,-0.085765296290613
E08000002,Bury,0.0531961964334182
E08000003,Manchester,0.803588257143187
E08000004,Oldham,0.1921576891574495
E08000005,Rochdale,0.5812498687847371
E08000006,Salford,0.4144960775158995
E08000007,Stockport,-0.2247267890146443
E08000008,Tameside,1.3872265265841184
E08000009,Trafford,-0.3914805802834818
E08000010,Wigan,0.2755345847918682
E08000011,Knowsley,0.2199499877022557
E08000012,Liverpool,2.554503065465981
E08000013,St. Helens,1.331641929494506
E08000014,Sefton,0.9147574513224122
E08000015,Wirral,1.109303541136056
E08000016,Barnsley,-0.2803113861042568
E08000017,Doncaster,0.3311191818814807
E08000018,Rotherham,0.5256652716951246
E08000019,Sheffield,-0.5860266700971256
E08000021,Newcastle upon Tyne,0.9981343469568308
E08000022,North Tyneside,0.1087807935230307
E08000023,South Tyneside,0.4422883760607058
E08000024,Sunderland,0.6090421673295433
E08000025,Birmingham,-0.196934490469838
E08000026,Coventry,0.3867037789710932
E08000027,Dudley,0.136573092067837
E08000028,Sandwell,0.4978729731503183
E08000029,Solihull,0.9147574513224122
E08000030,Walsall,0.470080674605512
E08000031,Wolverhampton,0.1087807935230307
E08000032,Bradford,0.6368344658743496
E08000033,Calderdale,-0.1413498933802255
E08000034,Kirklees,-0.5026497744627069
E08000035,Leeds,-0.0023884006561942
E08000036,Wakefield,0.2199499877022557
E08000037,Gateshead,1.2482650338600871
E09000001,City of London,2.026449393114662
E09000002,Barking and Dagenham,-0.4192728788282881
E09000003,Barnet,-1.1974572380828632
E09000004,Bexley,-1.0862880439036382
E09000005,Brent,-0.9195342526348008
E09000006,Bromley,-0.9751188497244132
E09000007,Camden,-0.7805727599107695
E09000008,Croydon,-0.5304420730075131
E09000009,Ealing,-1.0862880439036382
E09000010,Enfield,-0.9195342526348008
E09000011,Greenwich,-0.2803113861042568
E09000012,Hackney,-0.196934490469838
E09000013,Hammersmith and Fulham,-0.3358959831938693
E09000014,Haringey,-0.2525190875594506
E09000015,Harrow,-1.3364187308068944
E09000016,Havering,-0.9751188497244132
E09000017,Hillingdon,-0.6416112671867381
E09000018,Hounslow,-0.9751188497244132
E09000019,Islington,0.692419062963962
E09000020,Kensington and Chelsea,-1.0029111482692197
E09000021,Kingston upon Thames,-1.2252495366276694
E09000022,Lambeth,-0.196934490469838
E09000023,Lewisham,-0.2247267890146443
E09000024,Merton,-1.503172522075732
E09000025,Newham,-0.8083650584555757
E09000026,Redbridge,-1.1974572380828632
E09000027,Richmond upon Thames,-1.4197956264413132
E09000028,Southwark,-0.0301806992010005
E09000029,Sutton,-0.8917419540899945
E09000030,Tower Hamlets,-0.7805727599107695
E09000031,Waltham Forest,-0.7527804613659632
E09000032,Wandsworth,-1.0862880439036382
E09000033,Westminster,-0.6694035657315444
