local_authority_name,value
Blackpool,3.116969420505871
Knowsley,2.2870143996289327
Walsall,2.281094591405865
Great Yarmouth,2.2785660291045486
Hartlepool,2.277339236092821
Thanet,2.2189547590822363
East Lindsey,2.1749322486352374
Hastings,2.1185381400686185
Redcar and Cleveland,2.0475494385024167
Wolverhampton,2.0347593024490456
Burnley,1.9613567783158912
Sandwell,1.912802543525048
Doncaster,1.868814060344246
Oldham,1.8674166930463552
North East Lincolnshire,1.8603241124003795
Middlesbrough,1.8230220645678252
Tendring,1.744668193273781
Swale,1.7301258089880422
Bradford,1.7257009981911462
South Tyneside,1.7238606726746868
