local_authority_name,value
Isles of Scilly,-3.8969082340693104
Wokingham,-2.21324470367924
Hart,-2.1883015402660537
Elmbridge,-2.1087952068865228
East Hertfordshire,-2.026170978080344
Richmond upon Thames,-1.9451056969874885
St Albans,-1.846891991048068
Uttlesford,-1.8437740956214197
Kensington and Chelsea,-1.7424424942553505
South Oxfordshire,-1.7377656511153778
Mid Sussex,-1.7174993308421642
South Cambridgeshire,-1.592783513776233
Epsom and Ewell,-1.5787529843563155
Rushcliffe,-1.574076141216343
Vale of White Horse,-1.5538098209431297
Three Rivers,-1.5288666575299434
Harborough,-1.4945698078368124
Barnet,-1.478980330703571
Winchester,-1.458714010430357
Brentwood,-1.455596115003709
