local_authority_name,value
City of London,-4.254695591214815
Westminster,-2.797999970591496
Kensington and Chelsea,-2.794655731668875
Hammersmith and Fulham,-2.5687078726862134
Bath and North East Somerset,-2.3837325023588094
Camden,-2.380755776039709
Wandsworth,-2.340403666042765
Exeter,-2.3006284827050907
Cambridge,-2.16915407695123
Brighton and Hove,-2.165002294860678
York,-2.0914562713562264
Tower Hamlets,-2.052480370987115
Islington,-1.9345208067746549
Lambeth,-1.8634981601700984
Guildford,-1.8537799664104428
Warwick,-1.844280419642596
Southwark,-1.7860176928997071
Rushcliffe,-1.7799096532145122
Newcastle upon Tyne,-1.7333872412116127
Oxford,-1.724606633907305
