local_authority_name,value
Middlesbrough,6.128711816295624
Redcar and Cleveland,5.176925089540642
Hastings,4.097907691801604
Doncaster,3.9755040392483214
Bassetlaw,3.1206450344397445
Nottingham,2.712166048837765
Somerset West and Taunton,2.701290359163484
Great Yarmouth,2.3968902339238727
Tameside,2.364859093102359
Hartlepool,2.1868553393649446
Harlow,2.07553595135641
Barnsley,1.980604588884464
Wakefield,1.8798927228596125
Newcastle upon Tyne,1.8085303207502876
Mid Devon,1.7907120675305055
North Warwickshire,1.7776910363314349
Stoke-on-Trent,1.7292420735632663
Carlisle,1.646050496657531
East Lindsey,1.6037395943630668
Exeter,1.564944668456452
