local_authority_name,value
Middlesbrough,32.37710541315126
Blackpool,32.179299491384405
Redcar and Cleveland,27.602394707686983
Knowsley,26.75060946692517
Hartlepool,25.114703726023244
Great Yarmouth,24.81331696683275
Stoke-on-Trent,23.3809269033674
Sunderland,21.359793387474244
Halton,21.02889853489546
Doncaster,20.983744106436053
"Kingston upon Hull, City of",20.52136876390436
Burnley,20.153446366675105
Rotherham,19.914219342165445
St. Helens,19.53272049054381
North East Lincolnshire,19.114296878982
Rochdale,18.919545527860613
South Tyneside,18.738533322252387
Barnsley,18.477643513288285
Tameside,17.76261089896246
Liverpool,17.521574085609963
