local_authority_name,value
City of London,-2.7760618607291234
Bath and North East Somerset,-1.978761480750736
Guildford,-1.8125311777562243
Wokingham,-1.7712479611583674
York,-1.747063949027056
Hart,-1.736805555504482
Uttlesford,-1.656544282558175
Cotswold,-1.6262711034070836
Reading,-1.5357648065856655
Cheltenham,-1.5214853200594802
Wandsworth,-1.4975258785265324
Exeter,-1.487637691566068
Winchester,-1.4863644905217126
West Suffolk,-1.4711931479158546
East Hertfordshire,-1.4277984237540469
Warwick,-1.4240248806462448
Cambridge,-1.3737356389694282
West Berkshire,-1.3711188065127031
Oxford,-1.3578650942421409
Melton,-1.34905147888735
